learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.90925,9.30638751015067E-8,5000.0,84.54,61.918931168344926,53.00911854103344,25.67307692307693,89.35994494150036,71.73674588665448,81.96969696969697,94.32692307692308,66.38836871896689,5000.0,395640.0,10.0,0.673326238503229,0.32667376149677096,7871.200000000001,99.97310749507706,32855.200000000004,4313.605885258103,19.0,2.8284271247461903,10.0,1.4142135623730951,10.0,1.4142135623730951,4.6000000000000005,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.755821,2.400378668804963E-7,10000.0,86.21,65.50947236445847,58.16140776699028,33.733781835655904,90.57738298599249,74.29636533084808,83.6974365450183,95.77126381547333,66.98296431938714,10000.0,671088.0,10.0,0.8970871761208776,0.10291282387912229,15800.3,112.41989740848074,59404.0,2461.4452845612655,33.599999999999994,1.6465452046971292,17.299999999999997,0.8232726023485646,17.299999999999997,0.8232726023485646,7.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.333572,3.6338920511926213E-7,15000.0,86.89333333333333,66.75640071178502,59.77905073649754,35.8145608880183,91.11131205353107,75.05709210860189,84.40981821228114,96.57198824681684,67.26473936229479,15000.0,825288.0,10.0,0.9512445424171346,0.04875545758286545,23755.6,134.22220382634146,74356.00000000001,6320.651724483981,40.6,5.146735750831676,20.8,2.573367875415838,20.8,2.573367875415838,9.3,0.948683298050514,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.948599,5.217334118299186E-7,20000.0,87.405,67.82465959473377,61.198398028342574,38.03198031980321,91.48785185685804,75.79513788796002,84.95136491998745,97.02337023370234,67.4490057661508,20000.0,995200.0,10.0,0.7663745223610334,0.23362547763896643,31680.9,127.9891054391392,90808.8,9465.696438544112,48.4,7.183313998427188,24.7,3.591656999213594,24.7,3.591656999213594,10.399999999999999,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.555569,7.060037153193521E-7,25000.0,87.804,68.69962528575222,62.49692496924971,40.00393545848094,91.77435454717133,76.42465011984845,85.39511999196706,97.2451790633609,67.5722389475382,25000.0,1173520.0,10.0,0.7012069619861196,0.2987930380138804,39552.799999999996,131.56054795331985,107962.4,10832.409019029681,58.4,7.183313998427187,29.7,3.5916569992135936,29.7,3.5916569992135936,11.399999999999999,1.4298407059684808,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.174115,9.237169233067997E-7,30000.0,87.89666666666666,68.76644005509401,62.48191775160157,39.95369604762693,91.86002196964603,76.41135581108296,85.53417108504155,97.2548371093104,67.59974263899825,30000.0,1360552.0,10.0,0.8981456255242074,0.10185437447579253,47412.4,186.52804376583993,125919.2,9781.707335634204,69.4,6.850790708621403,35.2,3.4253953543107016,35.2,3.4253953543107016,12.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.970535,1.2411467424718043E-6,35000.0,87.88857142857142,68.73556418174279,62.60915586133897,40.09327303561333,91.85449933706116,76.39623587059413,85.59303824666952,96.94742792538158,67.55376861657147,35000.0,1540664.0,10.0,0.8313954456586273,0.16860455434137273,55342.9,185.77791400845612,143192.0,16078.76965995153,88.4,8.221921916437786,44.7,4.110960958218893,44.7,4.110960958218893,12.8,1.4757295747452437,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.507113,1.450368086407996E-6,40000.0,87.9975,68.98426657958917,63.02372150338877,40.70643448190685,91.93095682280375,76.58163016438222,85.72548036234838,96.94948746449302,67.5786519225638,40000.0,1507216.0,10.0,0.8720748609815003,0.12792513901849967,63203.1,192.26685737392293,139888.0,39543.62910339246,107.0,8.537498983243797,54.0,4.268749491621898,54.0,4.268749491621898,12.5,2.758824226207808,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,6.065814,1.6750180417920154E-6,45000.0,88.01555555555555,69.03803251043713,63.14746480798142,40.879193159394866,91.94172581247666,76.62838569880824,85.75171414237137,96.9195351896514,67.57796411035604,45000.0,1554280.0,10.0,0.8711743545813816,0.12882564541861838,71136.2,148.0891623313471,144562.40000000002,29743.74754539926,120.8,9.997777530809314,60.9,4.998888765404657,60.9,4.998888765404657,12.8,2.6997942308422114,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.683143,1.948467405891667E-6,50000.0,88.032,69.05176648131213,63.170851797144266,40.78765090045516,91.95720545146636,76.62317368544416,85.7497368025267,97.0413615673857,67.60012913632497,50000.0,1712232.0,10.0,0.7872908225847831,0.21270917741521678,79045.40000000001,193.37137556755602,159832.8,33421.88780092737,131.0,10.540925533894598,66.0,5.270462766947299,66.0,5.270462766947299,13.200000000000003,2.529822128134703,0.0,0.0,0.0,0.0,1.0,0.0
