learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.642069,2.679850807413459E-8,5000.0,89.9,1.0561327172298807,43.888888888888914,0.5905511811024062,94.67804826641374,1.1741682974559686,100.0,0.5905511811023622,?,5000.0,161336.0,10.0,4983.3,68.98478093028926,10477.6,473.34722984295587,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.080246,5.5432411320507525E-8,10000.0,89.91,0.5316283790657035,43.91328515842133,0.29644268774700305,94.68527785093495,0.5911330049261082,100.0,0.2964426877470355,?,10000.0,252600.0,10.0,9980.100000000002,62.197624106105835,19304.8,1491.9109893019756,9.4,0.8432740427115678,5.2,0.4216370213557839,5.2,0.4216370213557839,3.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.442204,8.573092844337224E-8,15000.0,90.0,0.35862922170519695,44.029850746268664,0.19960079840317174,94.73573383870288,0.39840637450199196,100.0,0.19960079840319359,?,15000.0,323568.0,10.0,15012.599999999999,85.42599136094356,26185.600000000002,3073.420504909798,12.600000000000001,2.270584848790187,6.800000000000001,1.1352924243950935,6.800000000000001,1.1352924243950935,4.400000000000001,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.78578,1.204473455208871E-7,20000.0,89.825,2.7216614815162137,44.093406593406606,0.6832601268911992,94.63018180858643,3.233475986685687,99.88858559411732,1.6593460224499756,50.385496826112394,20000.0,390584.0,10.0,20015.699999999997,77.68747932868267,32671.2,2750.9001678238587,15.800000000000004,2.14993539954628,8.4,1.0749676997731397,8.4,1.0749676997731397,5.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.107804,1.5695550646632907E-7,25000.0,89.908,6.320309893454399,44.218439089100144,0.5518328734726102,94.66223792497937,7.683863885839736,99.59488937363665,4.138746551044541,50.92485540595113,25000.0,438232.0,10.0,24972.3,79.35580914113629,37325.600000000006,2808.277415862694,17.400000000000002,2.0655911179772892,9.200000000000001,1.0327955589886446,9.200000000000001,1.0327955589886446,5.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.415134,1.9670684370729655E-7,30000.0,90.08333333333334,11.240905250874588,44.81543312928957,1.8475750577367371,94.74074990718971,13.341101077774542,99.35852274834069,7.555262289673376,51.699561177541455,30000.0,499976.0,10.0,29947.7,105.47885517433784,43282.399999999994,3712.9788939161317,20.599999999999998,2.2705848487901865,10.799999999999999,1.1352924243950933,10.799999999999999,1.1352924243950933,6.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.753654,2.45533963623974E-7,35000.0,90.4342857142857,18.219806400780442,46.431999999999995,4.669703872437363,94.9087591240876,21.037735849056606,99.10442073170732,12.699316628701595,52.86864320190393,35000.0,557544.0,10.0,34964.7,95.31357604128526,48888.0,3090.7759543519164,22.800000000000004,2.39443799947573,11.900000000000002,1.197218999737865,11.900000000000002,1.197218999737865,7.199999999999999,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.103172,3.000322414769066E-7,40000.0,90.81,24.996160031914545,48.773690078037916,8.648111332007991,95.09068084083442,28.23115970324092,98.95763842561708,17.967196819085487,54.065893880685664,40000.0,602720.0,10.0,39927.5,131.33946686185203,53242.399999999994,4543.475791359151,25.2,3.4576806613039834,13.1,1.7288403306519917,13.1,1.7288403306519917,7.8999999999999995,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.442975,3.572310465946793E-7,45000.0,91.12666666666667,30.390244950872425,50.60613557644732,12.009695901278063,95.24422053096082,33.87978142076503,98.8186446542435,22.54297047157338,55.08212394366635,45000.0,650672.0,10.0,44919.2,112.1752597005638,57835.2,4834.5456134872575,28.2,3.4253953543107007,14.6,1.7126976771553504,14.6,1.7126976771553504,8.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.795203,4.2082738741818397E-7,50000.0,91.584,33.31246664355507,50.806640168342284,12.186978297161957,95.49126754526948,36.911544227886054,98.56883737391612,25.68864774624374,55.735420766367206,50000.0,697928.0,10.0,49915.3,145.87365156950807,62441.600000000006,5709.661270357658,29.6,2.988868236194653,15.3,1.4944341180973262,15.3,1.4944341180973262,8.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
