learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.791159,6.209135974239971E-8,5000.0,85.64,71.55658377932981,70.13311148086524,65.31400966183575,86.4066641423703,84.78168715557439,78.01709401709401,96.3855421686747,66.0307951235196,5000.0,303368.0,10.0,0.5138756825743209,0.4861243174256792,5742.199999999999,67.05022992752019,24084.800000000003,2663.123512803048,13.399999999999999,1.577621275493231,7.199999999999999,0.7888106377466155,7.199999999999999,0.7888106377466155,4.199999999999999,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.463841,1.4745049158939056E-7,10000.0,86.82,73.81827555085016,72.49008557712376,67.40850642927794,87.76457482361678,85.71738188123105,79.43202823054949,97.67843912077056,66.54142832689273,10000.0,490504.0,10.0,0.5382638255450852,0.4617361744549149,11557.5,63.498468922924076,42106.4,5079.314809433782,23.6,3.40587727318528,12.3,1.70293863659264,12.3,1.70293863659264,6.7,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.091742,2.538723589624796E-7,15000.0,87.92,75.92941207101903,74.7068676716918,70.06937561942517,88.88070692194404,86.77758318739053,80.99765126943295,98.13500577653078,66.92022434323643,15000.0,655152.0,10.0,0.7099610840737776,0.29003891592622255,17392.600000000002,81.7328983131434,58030.4,6514.931144856576,31.6,3.777124126457412,16.299999999999997,1.8885620632287057,16.299999999999997,1.8885620632287057,8.2,0.7888106377466156,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.623701,3.651988558471203E-7,20000.0,88.64999999999999,77.35198557287558,76.18298184870423,71.9683872561126,89.57567964731815,87.54389815627744,81.97865007985207,98.44502036282859,67.1609392509293,20000.0,808952.0,10.0,0.49963828739129423,0.5003617126087059,23169.2,74.8120608220657,72984.0,6755.885138159174,37.800000000000004,4.237399621885522,19.400000000000002,2.118699810942761,19.400000000000002,2.118699810942761,9.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.183645,5.02147527039051E-7,25000.0,89.25999999999999,78.52132129958187,77.64735264735265,73.39476813317478,90.20037227636044,88.11999469050042,82.91619137086492,98.62335347132812,67.36830576060842,25000.0,945400.0,10.0,0.6044565602311833,0.3955434397688165,28905.5,73.61197064487708,86152.79999999999,8045.30942433747,44.8,5.116422361159971,22.9,2.5582111805799856,22.9,2.5582111805799856,10.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.727795,6.536024262921678E-7,30000.0,89.63,79.24277796351213,78.42430126915875,74.33803513981687,90.5546953274433,88.50460037689835,83.44337511190689,98.7467018469657,67.48890222823167,30000.0,1075888.0,10.0,0.7401852730949054,0.25981472690509455,34640.700000000004,101.30377858478687,98781.6,8453.405719984501,51.00000000000001,5.333333333333331,26.000000000000004,2.6666666666666656,26.000000000000004,2.6666666666666656,11.499999999999998,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.279276,8.232341660476393E-7,35000.0,89.83428571428571,79.64918030369326,78.79744949645432,74.9065519430143,90.73534006874283,88.73908089631598,83.7000384319754,98.83671742808798,67.55308206515514,35000.0,1188992.0,10.0,0.5432323475122236,0.45676765248777634,40424.600000000006,113.8753704714047,109728.0,9008.121570128938,56.400000000000006,6.113736809658866,28.700000000000003,3.056868404829433,28.700000000000003,3.056868404829433,12.4,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.72335,9.69395650509331E-7,40000.0,90.12,80.20452269403833,79.46159442885354,75.60794963584743,91.01450593424583,89.02770836803819,84.12138023788509,98.92638983155426,67.64757387915685,40000.0,1272272.0,10.0,0.7472099917408767,0.2527900082591232,46161.899999999994,143.6078379167084,117889.6,10251.663357719077,58.800000000000004,6.425643072011461,29.900000000000002,3.2128215360057304,29.900000000000002,3.2128215360057304,12.7,0.4830458915396482,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.120569,1.1083850293337471E-6,45000.0,90.28222222222222,80.51920150689284,79.75462962962962,75.97780707536805,91.17724200544738,89.1851119080005,84.34175656003882,99.02246142017684,67.70602225434153,45000.0,1352552.0,10.0,0.46852185436204724,0.5314781456379526,51981.100000000006,149.72304060794633,125650.39999999998,9585.103293942931,62.8,6.214677966091423,31.9,3.1073389830457114,31.9,3.1073389830457114,13.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.491754,1.2471216048238178E-6,50000.0,90.448,80.83951698071971,80.14137214137213,76.35292370153982,91.34500380558877,89.34356731670312,84.57950197999867,99.10404910404911,67.76495242454756,50000.0,1444784.0,10.0,0.8198348531835422,0.1801651468164579,57796.3,188.03489628848766,134583.19999999998,9891.323749180954,67.0,6.666666666666667,34.0,3.333333333333333,34.0,3.333333333333333,13.699999999999998,0.8232726023485647,0.0,0.0,0.0,0.0,1.0,0.0
