learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.58269,3.407017613450686E-8,5000.0,93.97999999999999,86.08521800811329,85.7750472589792,80.4798962386511,95.59748427672956,90.4837179892507,94.5054945054945,92.80155642023347,68.43008310051361,5000.0,226016.0,10.0,0.7513970770946792,0.24860292290532082,4983.3,68.98478093028926,16581.6,2385.1929900953505,9.2,1.9888578520235065,5.1,0.9944289260117533,5.1,0.9944289260117533,3.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.048755,7.130646693209807E-8,10000.0,94.67,87.71524254905259,87.32159847764034,82.3859881031064,96.09495201113634,91.60762084711071,94.034987094924,96.13350958360873,68.95079707271931,10000.0,308832.0,10.0,0.9123369635436763,0.08766303645632365,9980.100000000002,62.197624106105835,24683.199999999997,4153.869328710281,11.8,2.5298221281347035,6.4,1.2649110640673518,6.4,1.2649110640673518,4.699999999999999,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.387786,1.0638387851417064E-7,15000.0,95.06,88.63790534617681,88.24928639391057,83.63154406891982,96.37493273323224,92.2481431112041,94.05137019001242,97.39341727413297,69.1817872463818,15000.0,399936.0,10.0,0.75544677196881,0.24455322803118992,15012.599999999999,85.42599136094356,33467.2,3783.798350276552,16.6,2.6331223544175337,8.8,1.3165611772087666,8.8,1.3165611772087666,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.730028,1.4803581292016638E-7,20000.0,95.24000000000001,89.06227883284406,88.6110778801292,84.19654714475433,96.50462622998973,92.5415230335318,94.0326273611906,98.04116865869854,69.2953454461209,20000.0,470440.0,10.0,0.51868906718579,0.48131093281420995,20015.699999999997,77.68747932868267,40276.0,4752.859256396207,20.199999999999996,3.011090610836324,10.599999999999998,1.505545305418162,10.599999999999998,1.505545305418162,7.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.15269,2.08508593932622E-7,25000.0,95.41199999999999,89.51049974283805,89.07619047619046,84.9078947368421,96.61582037588883,92.87887253988949,94.09770114942529,98.42105263157895,69.3755637420346,25000.0,553056.0,10.0,0.6825551667998672,0.3174448332001327,24972.3,79.35580914113629,48264.0,6974.314781157119,24.2,4.732863826479693,12.6,2.3664319132398464,12.6,2.3664319132398464,8.299999999999999,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.572959,2.7700377538593276E-7,30000.0,95.57333333333334,89.85487423051424,89.45445882633209,85.36961551173295,96.74190382728163,93.09771309771311,94.23122879128232,98.66696044948772,69.44389628339736,30000.0,629992.0,10.0,0.6537779825988861,0.3462220174011137,29947.7,105.47885517433784,55724.8,5856.4118859398695,27.599999999999998,3.4058772731852796,14.299999999999999,1.7029386365926398,14.299999999999999,1.7029386365926398,9.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.933417,3.418085653107199E-7,35000.0,95.66571428571429,90.05219935782942,89.67395003743789,85.63174843720402,96.81402919248137,93.22314049586777,94.30079371573521,98.82553513923091,69.48494960330729,35000.0,694952.0,10.0,0.8290090716722254,0.17099092832777452,34964.7,95.31357604128526,62057.6,7650.920688242545,30.0,4.737556801183965,15.5,2.3687784005919825,15.5,2.3687784005919825,9.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.257934,4.0469591374198595E-7,40000.0,95.74000000000001,90.23147393873047,89.89443719606216,85.90104252854543,96.86614926251517,93.35050339498946,94.34334025936806,98.96574549065033,69.51781889379485,40000.0,749080.0,10.0,0.6138056422269088,0.38619435777309125,39927.5,131.33946686185203,67307.19999999998,6737.498065140931,32.400000000000006,3.5339622081862854,16.700000000000003,1.7669811040931427,16.700000000000003,1.7669811040931427,10.7,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.570307,4.697113677755826E-7,45000.0,95.79555555555555,90.35522376951364,90.03266252238963,86.07082382389753,96.9080925611191,93.43237989447375,94.37565649170831,99.07973201796364,69.54412061951606,45000.0,804536.0,10.0,0.7194429065903652,0.2805570934096347,44919.2,112.1752597005638,72652.0,5578.354675788275,35.4,2.2705848487901865,18.2,1.1352924243950933,18.2,1.1352924243950933,11.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.862296,5.347312527605229E-7,50000.0,95.83,90.44559746475264,90.11941996019335,86.21760973030145,96.93016681635477,93.50082603410118,94.3937829777472,99.14066631411951,69.55832971180854,50000.0,860760.0,10.0,0.6176687174948398,0.38233128250516024,49915.3,145.87365156950807,78123.20000000001,5502.351432695742,37.6,2.674987019698517,19.3,1.3374935098492584,19.3,1.3374935098492584,12.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.298837,6.470874057689475E-7,55000.0,85.76,67.35143066764492,66.03053435114504,52.501667778519014,89.52633127390409,77.76389756402247,86.94285714285715,83.0,65.18106648844761,55000.0,994888.0,10.0,0.716721738920182,0.28327826107981796,52399.0,126.1128242663864,90941.6,6785.7126244943665,45.6,3.134042472944842,23.3,1.567021236472421,23.3,1.567021236472421,12.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.621452,7.355083751719859E-7,60000.0,86.57000000000001,70.2672502639418,67.89385608415014,55.70580474934038,89.82190223569535,80.26451138868478,85.05813118989522,90.04286185295088,66.16286591488576,60000.0,1059432.0,10.0,0.6635429104029602,0.3364570895970398,54880.299999999996,129.09948790672235,97247.2,7758.693544090466,47.6,3.2727833889689544,24.3,1.6363916944844772,24.3,1.6363916944844772,12.2,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,4.949282,8.2714712018768E-7,65000.0,86.61333333333333,70.7232756432175,68.32807570977917,55.86813186813187,89.74463738508683,80.72936660268716,84.08460139726289,92.41924851680949,66.42737574111904,65000.0,1080520.0,10.0,0.8534034553555137,0.14659654464448635,57379.4,130.54433048670606,99256.0,7487.171844042463,51.4,3.0983866769659336,26.2,1.5491933384829668,26.2,1.5491933384829668,12.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,5.209551,8.989852777578764E-7,70000.0,86.8,71.26997172268732,68.6125312091309,56.28415300546449,89.84927714549369,81.1320754716981,83.69627507163324,93.97350993377484,66.64641494585588,70000.0,1066928.0,10.0,0.6840464959647666,0.3159535040352334,59802.7,115.70465274424721,97931.2,23771.900708376033,56.0,4.346134936801766,28.5,2.173067468400883,28.5,2.173067468400883,12.0,2.70801280154532,0.0,0.0,0.0,0.0,1.0,0.0
