learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,1.022401,8.40165840792987E-8,5000.0,83.72,45.16716604513809,15.031315240083531,-53.00751879699236,90.14289174134173,53.27210103329507,83.3034914950761,87.21804511278195,65.291947552485,5000.0,317648.0,10.0,0.9886347160996165,0.011365283900383383,7419.900000000001,65.8034953478917,25388.800000000003,5185.229209548557,15.399999999999999,2.9514591494904874,8.200000000000001,1.4757295747452437,8.200000000000001,1.4757295747452437,4.5,0.7071067811865475,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.87897,2.0271882782586746E-7,10000.0,84.78,47.28392000927137,17.011995637949838,-50.84241823587712,90.85226589734341,54.729327781082695,84.06183961739518,91.17938553022795,66.18935434562403,10000.0,535672.0,10.0,0.9188174291558955,0.08118257084410443,14817.6,59.333707863986405,46376.8,5805.160554770786,27.4,2.951459149490487,14.2,1.4757295747452435,14.2,1.4757295747452435,6.6000000000000005,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.436792,3.103363616868026E-7,15000.0,85.67333333333333,49.57273471682324,21.9680464778504,-40.64136125654449,91.41738887335757,56.68212054021367,84.95397862232778,92.01570680628272,66.51497677752931,15000.0,745744.0,10.0,0.8923368081619615,0.10766319183803845,22302.2,104.31235145785303,66646.40000000001,5280.574783529197,38.199999999999996,3.6757463338907272,19.599999999999998,1.8378731669453636,19.599999999999998,1.8378731669453636,8.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.020699,4.5360622154548763E-7,20000.0,86.25,50.806185547941396,24.82230727173319,-35.668475579674286,91.79202483285577,57.666256157635466,85.55611194569633,92.40256536753823,66.70057670538438,20000.0,948448.0,10.0,0.9173059921109922,0.08269400788900792,29736.500000000004,133.88324100581804,86182.4,5793.002737019129,48.99999999999999,5.333333333333333,24.999999999999996,2.6666666666666665,24.999999999999996,2.6666666666666665,10.299999999999999,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.592118,6.111112223751843E-7,25000.0,86.572,51.37601390498261,25.36682970208983,-34.27999999999998,92.00619121323966,58.0637101811368,85.86222222222221,92.96,66.86221321161568,25000.0,1065472.0,10.0,0.8667063726775944,0.13329362732240552,37037.0,136.95092389449405,97539.2,6026.366010199588,54.199999999999996,4.825856285561029,27.599999999999998,2.4129281427805145,27.599999999999998,2.4129281427805145,10.8,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.181642,7.936892095891138E-7,30000.0,86.87,52.29451937057286,27.351530800442642,-30.73348821772312,92.1883986117997,58.861618798955604,86.12665357394302,93.52804513773647,67.01766534125153,30000.0,1197152.0,10.0,0.996815817504925,0.0031841824950749774,44430.399999999994,173.50068843923833,110256.8,6402.987580462384,60.800000000000004,6.069962474714686,30.900000000000002,3.034981237357343,30.900000000000002,3.034981237357343,11.7,1.4944341180973264,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.756468,9.889248337948487E-7,35000.0,87.16571428571429,52.949044197929766,28.60775588048319,-28.452959679725403,92.3789487971226,59.377826008319765,86.42034091991239,93.88046897340577,67.13806854038143,35000.0,1312880.0,10.0,0.9697367797727545,0.030263220227245344,51795.399999999994,191.9717571820287,121441.59999999999,4866.607195983667,66.6,5.399588461684424,33.8,2.699794230842212,33.8,2.699794230842212,12.4,1.5776212754932306,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.262214,1.1772179041782186E-6,40000.0,87.41250000000001,53.64696219129546,29.933203451155038,-25.96947710783078,92.53222194206725,59.96660570883358,86.64277976835264,94.34575931948962,67.26599049442487,40000.0,1439144.0,10.0,0.8909979262559243,0.10900207374407546,59174.59999999999,199.16782426441998,133636.8,6850.161860212584,72.8,6.629898608240966,36.9,3.314949304120483,36.9,3.314949304120483,12.6,1.6465452046971296,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.709338,1.3567508640036813E-6,45000.0,87.58222222222221,54.13356096920345,31.046396841066098,-24.17777777777786,92.63729313797828,60.380034032898465,86.8,94.62222222222222,67.34653335959881,45000.0,1552096.0,10.0,0.8271848608091865,0.17281513919081357,66600.1,172.97941431793953,144551.19999999998,8969.55399361888,78.39999999999999,8.002777295692066,39.699999999999996,4.001388647846033,39.699999999999996,4.001388647846033,13.299999999999999,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.270442,1.5969083981195258E-6,50000.0,89.42,58.57854728936134,41.352549889135254,-7.959183673469419,93.79908568749266,63.989108236895845,88.71396895787139,95.91836734693877,67.9397410034823,50000.0,1654456.0,10.0,0.9955443399126969,0.004455660087303118,74028.6,216.93429624863117,154429.59999999998,9648.825503655873,83.59999999999998,7.426678635537927,42.29999999999999,3.7133393177689635,42.29999999999999,3.7133393177689635,13.7,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
