learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.860385,5.8533780525128044E-8,5000.0,91.02,76.13832416846577,71.9725343320849,56.407766990291265,94.03004919558569,81.88785800726099,89.11290322580645,98.35271317829456,68.45904184329873,5000.0,262976.0,10.0,0.8640197394582524,0.1359802605417477,7853.200000000001,95.01321545506771,20134.399999999998,2586.3087037535006,11.0,2.666666666666667,6.0,1.3333333333333335,6.0,1.3333333333333335,4.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.518475,1.323561906400654E-7,10000.0,91.97999999999999,78.33107097465867,74.92966552047513,60.647693817468074,94.70766794245743,83.45026826248453,90.15075376884421,99.11764705882354,68.78742632699448,10000.0,433616.0,10.0,0.712935027923436,0.2870649720765639,15761.7,100.02116442700192,36596.799999999996,3881.1759042846793,19.8,3.1552425509864612,10.4,1.5776212754932306,10.4,1.5776212754932306,7.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.982796,2.0017315843039088E-7,15000.0,92.38666666666666,79.43774956936308,76.55030800821353,63.00615484288951,94.97359154929578,84.31318681318683,90.58013600873143,99.35254127549369,68.90803242079713,15000.0,564576.0,10.0,0.9365101213170371,0.06348987868296281,23717.600000000002,136.804158481304,49272.8,4794.0503126271,26.0,2.8674417556808756,13.5,1.4337208778404378,13.5,1.4337208778404378,9.899999999999999,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.439176,2.802000686774651E-7,20000.0,92.67999999999999,79.96449994046829,77.27766568368772,63.83399209486165,95.19621997637486,84.62830743385132,90.94670846394985,99.50617283950616,69.00233353000752,20000.0,677816.0,10.0,0.7739054641004542,0.22609453589954573,31611.6,110.6277039845305,60255.200000000004,5500.10773227822,31.000000000000004,3.39934634239519,16.0,1.6996731711975945,16.0,1.6996731711975945,10.999999999999998,1.154700538379252,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.904695,3.7473576890304685E-7,25000.0,92.852,80.32808396638667,77.75149402390439,64.494337373336,95.32015189210422,84.87515869657216,91.15452041071876,99.5829195630586,69.05386302984384,25000.0,784984.0,10.0,0.8901537523612859,0.10984624763871415,39471.0,96.02893082584768,70630.4,5214.469850543027,36.0,3.018461712712472,18.5,1.509230856356236,18.5,1.509230856356236,12.6,1.577621275493231,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.40326,4.870084832401739E-7,30000.0,92.95,80.57896180914823,78.15533980582524,65.00082740360747,95.38602500054539,85.06461408092649,91.26278438739303,99.6360628618693,69.0830744917419,30000.0,870472.0,10.0,0.7425731871485717,0.2574268128514282,47360.1,101.676447616938,78859.2,5918.884219175096,40.8,3.8239014399199958,20.9,1.9119507199599979,20.9,1.9119507199599979,13.3,1.9465068427541907,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.884222,6.064407616481185E-7,35000.0,93.04571428571428,80.8134510289114,78.40475556738534,65.46047963672486,95.45148751681866,85.23774866569626,91.37061285821616,99.68789899276493,69.11195841729945,35000.0,959872.0,10.0,0.6090575992332591,0.39094240076674097,55294.1,102.46565820366826,87500.0,5069.248815707861,45.199999999999996,3.0477678535099892,23.099999999999998,1.5238839267549946,23.099999999999998,1.5238839267549946,13.6,2.170509412813294,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.385707,7.417725562780267E-7,40000.0,93.1825,81.11444131925883,78.77821011673153,66.02292549215052,95.54855454530615,85.44746251133999,91.53947203803328,99.7259591429995,69.14937295106746,40000.0,1043144.0,10.0,0.8193736048362252,0.18062639516377474,63165.2,144.38744174385002,95576.0,4613.8404345572635,48.800000000000004,3.457680661303984,24.900000000000002,1.728840330651992,24.900000000000002,1.728840330651992,13.700000000000001,2.359378449224852,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.757006,8.484239272317952E-7,45000.0,93.26,81.28247692876886,78.98128898128898,66.32992895204262,95.60377440535723,85.56333000142796,91.63378716310086,99.7558268590455,69.17181760336834,45000.0,1110312.0,10.0,0.7686763628642322,0.23132363713576765,71052.09999999999,128.00907085914812,102066.4,4715.968221549702,52.199999999999996,3.0110906108363245,26.599999999999998,1.5055453054181622,26.599999999999998,1.5055453054181622,14.2,2.485513584307633,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.106322,9.556759162950846E-7,50000.0,93.92,82.66789055685103,80.28534370946824,68.82051282051283,96.07640681466184,86.50088809946713,92.472049689441,99.8974358974359,69.34866357524075,50000.0,1186832.0,10.0,0.6204157968960109,0.3795842031039889,78959.40000000001,195.64264474915473,109420.8,5304.223491185532,56.6,4.8808013913928345,28.8,2.4404006956964173,28.8,2.4404006956964173,14.2,2.485513584307633,0.0,0.0,0.0,0.0,1.0,0.0
