learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.849026,6.325385212070411E-8,5000.0,72.48,41.19532468642491,14.904143475572052,-31.67464114832538,79.55423476968797,57.92048929663609,67.68647281921618,90.622009569378,62.91034938477813,5000.0,287984.0,10.0,0.8170006621230207,0.1829993378769792,7898.2,72.15230804039152,22521.600000000002,3882.5362615463396,12.600000000000001,2.6331223544175337,6.800000000000001,1.3165611772087669,6.800000000000001,1.3165611772087669,4.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.773253,1.8863885358182918E-7,10000.0,76.75999999999999,48.37823013118282,28.00495662949192,-12.433478471214347,83.13742562763025,62.62463814731425,72.21732005546451,94.1944847605225,64.50034976959176,10000.0,524408.0,10.0,0.9191606146494937,0.08083938535050643,15803.0,104.16866664746695,45336.00000000001,5077.305322051583,24.8,4.157990967870047,12.9,2.0789954839350235,12.9,2.0789954839350235,7.8999999999999995,0.7378647873726216,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.491357,3.388378905277285E-7,15000.0,79.55333333333333,53.037308619759294,36.35609047520232,0.09771986970682964,85.44444971762137,65.65124874006048,75.45683151718357,95.47231270358306,65.36993655740508,15000.0,808504.0,10.0,0.6919198727438819,0.30808012725611805,23805.600000000002,122.70941284188403,72608.0,7236.799783820961,41.6,5.168279318217149,21.3,2.5841396591085743,21.3,2.5841396591085743,10.4,1.4298407059684812,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.199743,5.301099810066322E-7,20000.0,81.43,56.24248028083988,42.059282371294856,8.2056351952546,86.96567698462833,67.7211889448983,77.6607747273411,96.29263470093919,65.94569914487985,20000.0,1043720.0,10.0,0.8225775331564213,0.1774224668435788,31695.2,126.39690572865237,95288.0,10148.191913395762,54.0,7.788880963698614,27.5,3.894440481849307,27.5,3.894440481849307,11.2,1.4757295747452437,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.781311,7.152454504432776E-7,25000.0,82.472,58.2064460561653,45.45680856360468,13.450523405095813,87.76797677534614,69.08860045146727,78.85338817274415,96.72131147540983,66.25230178042004,25000.0,1230528.0,10.0,0.8400850127236211,0.1599149872763788,39557.80000000001,106.16946621112724,113414.4,11027.835359267527,62.2,9.2951600308978,31.6,4.6475800154489,31.6,4.6475800154489,11.899999999999999,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.253683,8.844388899434771E-7,30000.0,83.19666666666666,59.55945233823539,47.65316718587745,16.815181518151782,88.32912740490356,70.00654489200929,79.68253968253968,97.07920792079207,66.47588803531168,30000.0,1384528.0,10.0,0.9743332388114418,0.025666761188558193,47425.2,137.82823448851914,128398.40000000001,13204.069837238314,68.2,7.955431408094026,34.6,3.977715704047013,34.6,3.977715704047013,12.700000000000001,1.3374935098492589,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.703916,1.0642595106528864E-6,35000.0,83.63714285714285,60.3776031714079,48.99812984237242,18.81202154805782,88.67039901877388,70.55678371291964,80.19394546625635,97.27814006237597,66.60932470920125,35000.0,1543848.0,10.0,0.6551889978260512,0.34481100217394867,55358.6,142.89483312329108,143759.19999999998,11662.270531742757,76.6,6.0955357070199785,38.8,3.0477678535099892,38.8,3.0477678535099892,13.4,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.143099,1.2560603846092191E-6,40000.0,84.04,61.15752699088704,50.179491181520234,20.646364201367327,88.97751994198696,71.0895752196359,80.63526834611172,97.56370416407707,66.74559395761432,40000.0,1688136.0,10.0,0.8653364876386852,0.13466351236131474,63271.3,196.45358513173204,157688.0,11095.668343998032,84.0,6.616477747093069,42.5,3.3082388735465345,42.5,3.3082388735465345,14.299999999999999,1.159501808728406,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.57782,1.4611148540034063E-6,45000.0,84.32888888888888,61.68890850439952,50.96648588513418,21.878808020383282,89.20193544435598,71.44014255629354,80.97183999110445,97.70687936191426,66.83537973128804,45000.0,1823312.0,10.0,0.9091277001401606,0.09087229985983931,71160.0,177.7988876355651,170770.4,10579.973064447964,90.39999999999999,5.337498373666157,45.699999999999996,2.6687491868330784,45.699999999999996,2.6687491868330784,14.8,1.3984117975602026,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.037322,1.6947773527250522E-6,50000.0,84.662,62.4412109205134,52.32796668117115,23.91110229189405,89.43620259790349,72.01401306426303,81.32060820119736,97.89661672784999,66.93601887792688,50000.0,1965640.0,10.0,0.7006848341876587,0.2993151658123413,79101.69999999998,242.12533485320867,184528.8,9716.872619887075,97.4,5.719362823873925,49.2,2.8596814119369625,49.2,2.8596814119369625,15.5,1.35400640077266,0.0,0.0,0.0,0.0,1.0,0.0
