learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.704818,5.446768494115935E-8,5000.0,85.28,43.74244803514384,14.418604651162815,-54.621848739495874,91.33709981167608,51.06382978723404,85.76480990274094,80.67226890756302,64.5052476179853,5000.0,298720.0,10.0,0.9610326900782447,0.038967309921755455,6833.2,70.02507487401284,23668.8,4144.424173915278,13.2,3.190262963734773,7.1,1.5951314818673865,7.1,1.5951314818673865,4.300000000000001,0.8232726023485647,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.330996,1.4257745643870698E-7,10000.0,85.8,47.342115531250194,19.68325791855201,-44.45574771108844,91.58967069414831,54.42875481386393,85.74914051236553,86.26653102746694,65.57737253425005,10000.0,543912.0,10.0,0.9541913882382315,0.04580861176176845,13709.800000000001,59.65418863937583,47288.8,6480.2188714751155,26.400000000000002,4.3256341860022225,13.700000000000001,2.1628170930011112,13.700000000000001,2.1628170930011112,6.0,0.4714045207910316,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.867174,2.43698997563786E-7,15000.0,86.33999999999999,49.77093191615288,24.890029325513147,-36.32734530938136,91.89317507418397,56.634920634920626,86.04134252056012,89.02195608782435,66.15574400767942,15000.0,729016.0,10.0,0.9461486240578617,0.05385137594213832,20668.300000000003,107.04417571991284,65124.0,5109.556362564388,36.4,3.893013685508383,18.7,1.9465068427541914,18.7,1.9465068427541914,7.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.350284,3.556008985845579E-7,20000.0,86.63499999999999,50.99643694781386,27.52169197396961,-32.13049925852703,92.06236080178174,57.7391304347826,86.22684541358402,90.2619871478003,66.4245497842071,20000.0,895352.0,10.0,0.8907309832374385,0.10926901676256152,27625.3,93.68748285894154,81200.0,6612.780622064786,44.6,4.695151163109069,22.8,2.3475755815545347,22.8,2.3475755815545347,8.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.805206,4.7608488606909904E-7,25000.0,87.184,52.533102116799625,30.256856769699592,-26.79066086268314,92.40398293029872,59.028132992327365,86.71739420638099,91.33359715077167,66.7178745459477,25000.0,1023752.0,10.0,0.8191941272916041,0.180805872708396,34505.8,99.02278076842227,93613.6,7795.776451957104,50.8,6.069962474714687,25.9,3.0349812373573437,25.9,3.0349812373573437,9.200000000000001,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.290848,6.22488941008018E-7,30000.0,87.39333333333333,53.046599491218124,30.808635199414574,-25.231788079470174,92.53690109716632,59.438009438009445,86.90511489992588,91.75496688741723,66.83189391812547,30000.0,1165304.0,10.0,0.8509244892628486,0.14907551073715125,41372.99999999999,97.64561775454624,107219.20000000001,9456.753645470048,59.0,7.302967433402215,30.0,3.6514837167011076,30.0,3.6514837167011076,9.9,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.762697,7.787590004048413E-7,35000.0,87.57714285714286,53.561432003338375,31.37626262626261,-24.051355206847465,92.65168159540306,59.852262234533704,87.03286235910463,92.4679029957204,66.98894784866101,35000.0,1280192.0,10.0,0.7979118092377899,0.20208819076221007,48271.09999999999,113.65781979256981,118393.59999999999,11430.988711976463,63.6,7.834397090892048,32.3,3.917198545446024,32.3,3.917198545446024,10.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.212016,9.384325315347976E-7,40000.0,87.705,54.04487236017026,31.770255271920096,-22.857856607544313,92.72721895241193,60.26821780578445,87.09614690113064,93.18011491381463,67.13349793786729,40000.0,1373664.0,10.0,0.9076344281071121,0.09236557189288777,55083.5,126.00286592860655,127494.4,13404.287897700664,67.2,9.016035098028896,34.1,4.508017549014448,34.1,4.508017549014448,10.7,1.6363916944844772,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.69303,1.1225181341461009E-6,45000.0,87.67777777777778,54.1596091478803,31.787427727887824,-22.86727232439622,92.70404336785043,60.3900278591328,87.01064539234817,93.66275204963439,67.2074023902841,45000.0,1479328.0,10.0,0.87119133945191,0.12880866054808993,61993.700000000004,102.40665125968154,137707.2,16286.26194612434,72.39999999999999,10.834102536794536,36.699999999999996,5.417051268397268,36.699999999999996,5.417051268397268,11.9,1.728840330651992,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.235422,1.3461916060042048E-6,50000.0,87.6,51.493909356198984,19.37581274382317,-49.39759036144585,92.7485380116959,57.24137931034483,86.47764449291166,100.0,68.27840882975225,50000.0,1594056.0,10.0,0.9121205248629973,0.08787947513700264,68811.9,151.12573867111126,148786.4,14136.678874474019,78.0,8.70504323813373,39.5,4.352521619066865,39.5,4.352521619066865,12.600000000000001,1.776388345929897,0.0,0.0,0.0,0.0,1.0,0.0
