learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.982597,7.621482504324782E-8,5000.0,96.34,91.31289417149317,91.56682027649771,88.1476683937824,97.3801002147459,93.93034825870646,98.46554719166184,91.59120310478654,68.93053574005651,5000.0,299824.0,10.0,0.8016697295670959,0.19833027043290427,4970.7,63.63969760386289,23755.199999999997,1353.0394426376974,12.2,1.0327955589886444,6.6,0.5163977794943222,6.6,0.5163977794943222,3.4000000000000004,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.68568,1.6189574916950532E-7,10000.0,97.44,93.87650518372973,93.98778769375295,91.5622940013184,98.1779359430605,95.69747899159664,99.03790924755887,93.77470355731225,69.42849069453965,10000.0,471064.0,10.0,0.7237926296836502,0.2762073703163499,9989.8,105.59124542835495,40253.6,3067.9047935394315,21.4,1.8378731669453627,11.2,0.9189365834726814,11.2,0.9189365834726814,4.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.170205,2.3498706805209318E-7,15000.0,97.92666666666666,95.01629846673777,95.07833517961701,93.08120133481644,98.52948129935221,96.48627273754377,99.2002285061411,94.95219034912164,69.66929360472638,15000.0,583112.0,10.0,0.7437153245639415,0.2562846754360585,14966.2,137.02213933035304,51077.6,5064.879755071519,27.0,3.6514837167011076,14.0,1.8257418583505538,14.0,1.8257418583505538,4.8,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.61801,3.1199968826646605E-7,20000.0,98.295,95.90228627911443,95.92981618524708,94.29956536275493,98.79056570313885,97.1113934773401,99.36501141552512,95.78877005347593,69.84872609235637,20000.0,664776.0,10.0,0.7611014708756468,0.2388985291243533,19980.299999999996,110.03943737486799,59040.0,4347.77082090479,30.0,2.5385910352879693,15.5,1.2692955176439846,15.5,1.2692955176439846,5.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.086704,4.016918278713193E-7,25000.0,98.496,96.3786994051143,96.40397857689364,94.95030889067955,98.93454236327572,97.44391570360298,99.45875113947129,96.22717508055854,69.94389291068053,25000.0,739720.0,10.0,0.8646358903285533,0.1353641096714468,24977.8,108.50888340489774,66252.0,3420.935804392971,34.2,2.347575581554534,17.6,1.173787790777267,17.6,1.173787790777267,5.200000000000001,0.4216370213557843,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.533524,4.995562673339413E-7,30000.0,98.64333333333335,96.73932999015584,96.77035391207745,95.45556051808845,99.03766580758045,97.70147399333598,99.5295124037639,96.5617325295825,70.01629184221098,30000.0,846632.0,10.0,0.7314655179962953,0.2685344820037047,29980.300000000003,82.4918177760694,76533.6,4958.63070704896,40.2,4.022160834399562,20.6,2.011080417199781,20.6,2.011080417199781,5.6000000000000005,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.022264,6.192297603831523E-7,35000.0,98.75714285714285,97.01408703725458,97.03071672354949,95.8365237366003,99.11813003020657,97.89580612392976,99.57637474541752,96.83253588516746,70.07298171024709,35000.0,946504.0,10.0,0.9070204988041952,0.09297950119580463,34982.8,111.75349857809552,86168.79999999999,3532.7958333308766,45.39999999999999,2.7968235951204043,23.199999999999996,1.3984117975602022,23.199999999999996,1.3984117975602022,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.465316,7.373503517256015E-7,40000.0,98.8325,97.19337215134036,97.2086072922893,96.08320053677765,99.17197113423997,98.0212702851574,99.61175422974176,96.9979035639413,70.10878293653425,40000.0,1030560.0,10.0,0.6811992221701256,0.3188007778298745,39959.0,136.45756361106126,94304.0,4223.016720570997,49.39999999999999,3.864367132317184,25.199999999999996,1.932183566158592,25.199999999999996,1.932183566158592,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.920631,8.687826711063584E-7,45000.0,98.89333333333333,97.34034258096574,97.35696847468421,96.28579952267303,99.21495680686046,98.12528233699743,99.61696739474517,97.18866517524236,70.14371542946445,45000.0,1115816.0,10.0,0.6283806056215836,0.3716193943784165,44964.5,115.3634353780353,102528.80000000002,6481.7165901908675,53.8,4.638007234913623,27.4,2.3190036174568114,27.4,2.3190036174568114,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.396539,1.0152720978731912E-6,50000.0,98.956,97.4919466744044,97.50954198473283,96.49640915497685,99.2591961852861,98.23266522210183,99.63531724550558,97.35588215556002,70.17677667880336,50000.0,1189832.0,10.0,0.7548420082632026,0.2451579917367975,49973.600000000006,145.91336851403096,109697.59999999999,6261.649963601181,57.2,4.661902329879223,29.1,2.3309511649396115,29.1,2.3309511649396115,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.832217,1.1575854193419219E-6,55000.0,99.26,98.23239986210808,98.25224374114315,97.49830966869507,98.75963794837412,99.47270913495797,99.59432048681542,99.11956830445897,70.48295694550463,55000.0,1262648.0,10.0,0.3286793750636509,0.6713206249363491,54974.6,161.1012104237572,116775.20000000001,7096.374736441136,60.2,5.00666222813829,30.6,2.503331114069145,30.6,2.503331114069145,6.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,6.193188,1.2818205278097755E-6,60000.0,99.42999999999999,98.63301707903665,98.6569274269557,98.06582965727858,99.03797468354429,99.59502664298401,99.55887343060739,99.37615199206012,70.52216414409507,60000.0,1330376.0,10.0,0.24994777259956005,0.7500522274004399,60008.3,211.70999556521255,123320.0,8143.954594940006,63.6,5.58171618371586,32.300000000000004,2.79085809185793,32.300000000000004,2.79085809185793,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.508373,1.3955759860823553E-6,65000.0,99.5,98.80702798582975,98.81722125847658,98.31951602061395,99.16359986617599,99.64341748680646,99.61909029800583,99.44955869792162,70.54584484502391,65000.0,1395112.0,10.0,0.49221328609224607,0.5077867139077539,65048.0,214.67701838394905,129584.8,8145.9429684011675,66.60000000000001,5.719362823873924,33.800000000000004,2.859681411936962,33.800000000000004,2.859681411936962,6.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,6.828097,1.5149028045932453E-6,70000.0,99.55000000000001,98.93212105817408,98.93073541641917,98.50349185234455,99.2543496271748,99.67776584317937,99.60093116062521,99.52809952809952,70.55654305036578,70000.0,1442664.0,10.0,0.3736767914903251,0.6263232085096749,70032.9,219.16328261012103,134207.2,8584.922762870057,68.6,6.44980619863884,34.8,3.22490309931942,34.8,3.22490309931942,6.7,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,7.178356,1.6529139658994974E-6,75000.0,99.576,98.99300248446427,98.99354348651728,98.58929997338302,99.29642904553299,99.69657067613214,99.5475113122172,99.58824202218918,70.55773404354876,75000.0,1523096.0,10.0,0.27544096135573964,0.7245590386442604,75070.90000000001,223.29922625133446,141898.4,8506.739435425434,73.8,5.094659513211413,37.4,2.5473297566057065,37.4,2.5473297566057065,6.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,7.475261,1.7738723939843476E-6,80000.0,99.61,99.07257644699501,99.07083862770011,98.70028882470562,99.3514052885415,99.72116965753915,99.54454565652078,99.63806076769217,70.56603404333649,80000.0,1574784.0,10.0,0.29743712571731185,0.7025628742826882,80088.80000000002,260.1998377316088,146960.0,8574.838229766594,75.4,5.059644256269407,38.2,2.5298221281347035,38.2,2.5298221281347035,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
