learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.963366,5.128620320310195E-8,5000.0,79.36,58.7627547758484,58.982511923688385,57.8259092766653,80.32786885245902,78.29196466133781,85.09693053311793,73.73217115689383,63.013709161184075,5000.0,205784.0,10.0,0.518143019154826,0.481856980845174,5018.6,72.79987789977542,14737.599999999999,3180.1423867493736,6.3999999999999995,1.6465452046971292,3.6999999999999997,0.8232726023485646,3.6999999999999997,0.8232726023485646,2.3000000000000003,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.688144,1.1797191195189953E-7,10000.0,81.08999999999999,62.19815395854293,62.49504165013883,61.821118514031895,82.24246408113439,79.77756389690941,87.89642713769571,74.33240334794739,63.68454099811882,10000.0,355656.0,10.0,0.47836194436290735,0.5216380556370926,10008.599999999999,99.92463826971472,29262.399999999998,4888.061538074167,13.2,2.2010098692292237,7.1,1.1005049346146119,7.1,1.1005049346146119,3.5999999999999996,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.296985,2.008927341364324E-7,15000.0,82.0,63.998571463315656,64.05272267341232,63.660834454912504,83.24854200272988,80.55035297507564,89.4294854705412,74.56655108028808,64.03046863619485,15000.0,526456.0,10.0,0.5289545573707779,0.471045442629222,15633.8,142.99090880192344,45791.2,4634.2868275496285,21.0,2.8284271247461903,11.0,1.4142135623730951,11.0,1.4142135623730951,4.300000000000001,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.925327,3.125325077296131E-7,20000.0,82.32000000000001,64.62484528371955,64.51580531861516,63.83718551851095,83.59773633917804,80.8263745797636,89.85839648982848,74.73926995587645,64.14781103936924,20000.0,686792.0,10.0,0.5984789987062809,0.40152100129371915,22852.4,165.7221235147021,61415.2,2755.9750361714086,27.0,1.6329931618554518,14.0,0.8164965809277259,14.0,0.8164965809277259,4.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.598507,4.6438900064470035E-7,25000.0,82.56,65.09603164038967,65.05290157101635,64.29448857587421,83.83508823965595,81.06652770540212,90.04460019114367,75.00803600128576,64.23640638151184,25000.0,871976.0,10.0,0.4698727184314916,0.5301272815685085,30125.6,207.3355841249748,79309.59999999999,3615.0874954833375,36.2,2.8596814119369625,18.6,1.4298407059684812,18.6,1.4298407059684812,5.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.297337,6.602241533270313E-7,30000.0,82.55333333333333,65.09313086880908,64.95245747957681,64.4646615520402,83.81270489268262,81.08147184269501,90.10506716318659,74.96324020852828,64.23945582189245,30000.0,1083232.0,10.0,0.648776427046345,0.351223572953655,37410.6,269.8938886138609,99848.8,6090.097404803966,44.8,3.7058512292499466,22.9,1.8529256146249733,22.9,1.8529256146249733,6.300000000000001,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,5.01143,8.898721514600846E-7,35000.0,82.72571428571428,65.42598830803354,65.29874304080812,64.81610800744878,84.00444467961267,81.22476864791007,90.2917590854803,75.0875581328587,64.29994502686978,35000.0,1243112.0,10.0,0.45059089756801,0.54940910243199,44673.1,283.0007656055607,115415.2,7657.36706707991,51.0,4.807401700618652,26.0,2.403700850309326,26.0,2.403700850309326,7.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.700319,1.1353897477417357E-6,40000.0,82.77,65.51455318879802,65.42590548811076,64.96721394805063,84.05884257760096,81.25441984442148,90.42997909823828,75.03767708228675,64.3171159530115,40000.0,1377640.0,10.0,0.5870262470529477,0.41297375294705213,51918.5,317.38418710172414,128490.4,8091.053429560331,56.60000000000001,4.788875998951459,28.800000000000004,2.3944379994757297,28.800000000000004,2.3944379994757297,7.200000000000001,0.9189365834726816,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,6.371592,1.4025992458996674E-6,45000.0,82.88888888888889,65.74472273776607,65.73513705945176,65.20717545524379,84.19799704482021,81.34328358208954,90.6255522177063,75.0581291361116,64.3590866455192,45000.0,1538704.0,10.0,0.47956843090577195,0.520431569094228,59194.8,314.84310025436093,144078.4,6950.367587401403,64.2,3.675746333890726,32.6,1.837873166945363,32.6,1.837873166945363,7.7,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.98338,1.6753389611860945E-6,50000.0,83.00800000000001,65.98725825365737,65.88910747982496,65.51108224405294,84.29690965547833,81.48858288303991,90.73329885011738,75.20006434230105,64.40756228743997,50000.0,1723256.0,10.0,0.5159920771407429,0.48400792285925726,66375.40000000001,297.1678164120588,162001.59999999998,10847.658991690327,72.0,6.74948557710553,36.5,3.374742788552765,36.5,3.374742788552765,7.8999999999999995,0.994428926011753,0.0,0.0,0.0,0.0,1.0,0.0
