learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.760066,6.547923575672839E-8,5000.0,90.32,78.68489313820909,76.64092664092664,67.7977378576181,92.63542300669508,85.88098016336056,87.04603946239634,97.93745841650033,68.00431932585177,5000.0,333008.0,10.0,0.6588874082257349,0.3411125917742651,7767.0,80.95128850803492,26916.800000000003,3551.5339033531227,14.200000000000001,2.3475755815545343,7.6000000000000005,1.1737877907772671,7.6000000000000005,1.1737877907772671,5.3,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.389339,1.50058859396312E-7,10000.0,91.56,81.4734889358315,79.87121392797519,72.53498210218027,93.54740061162079,87.8034682080925,88.32106250902267,98.86104783599089,68.40725662256409,10000.0,519552.0,10.0,0.6873279906560081,0.31267200934399186,15579.199999999999,65.1882743375764,44918.399999999994,4565.012138233832,23.800000000000004,3.0110906108363227,12.400000000000002,1.5055453054181613,12.400000000000002,1.5055453054181613,8.200000000000001,0.9189365834726818,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.85918,2.2854496485450205E-7,15000.0,91.96666666666667,82.21490907592425,80.97568676981369,73.47567686550735,93.91260419297804,88.1920627143557,88.88782633642536,99.05348888399736,68.54584510027262,15000.0,645720.0,10.0,0.6428498410837602,0.3571501589162398,23504.300000000003,85.47910725889543,57207.2,5868.165202552194,28.6,3.6270588023294517,14.8,1.8135294011647258,14.8,1.8135294011647258,10.299999999999999,0.948683298050514,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.314583,3.161008197276129E-7,20000.0,92.155,82.54613238534989,81.34807417974321,73.86742171885409,94.08482563619228,88.35621521335807,89.15404401257501,99.15056628914057,68.6120634986508,20000.0,743176.0,10.0,0.6871312106018683,0.31286878939813184,31375.0,74.71724477432659,66643.20000000001,7168.516052852223,33.199999999999996,5.613475849338902,17.099999999999998,2.806737924669451,17.099999999999998,2.806737924669451,11.6,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.761406,4.1566282781047955E-7,25000.0,92.432,83.14998282224465,81.9946707270651,74.8738379814077,94.29570670525807,88.75950570342206,89.51345163136806,99.20318725099602,68.68708737498702,25000.0,861312.0,10.0,0.6570849019425511,0.3429150980574489,39180.299999999996,73.34401437366506,78023.2,7940.9504720782625,39.6,5.738757124441958,20.3,2.869378562220979,20.3,2.869378562220979,12.7,1.8287822299126937,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.24495,5.353579855834445E-7,30000.0,92.49000000000001,83.33743418002999,82.16716795947445,75.274363476734,94.31849703694364,88.92602605062669,89.52987361164305,99.2756804214223,68.70326666779852,30000.0,956848.0,10.0,0.69732298846259,0.3026770115374101,46986.399999999994,97.93217607666708,87279.2,8959.631301937969,44.0,4.83045891539648,22.5,2.41522945769824,22.5,2.41522945769824,13.1,1.728840330651992,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.695394,6.583225012198092E-7,35000.0,92.53428571428572,83.44295339519154,82.27513227513228,75.45557016719894,94.34917064942367,89.00206237636263,89.57050176562372,99.31429644937066,68.71768298898661,35000.0,1055216.0,10.0,0.8007471919904807,0.1992528080095192,54832.3,103.66296885151857,96800.0,7167.34917680325,48.6,4.788875998951459,24.8,2.3944379994757297,24.8,2.3944379994757297,13.4,2.0110804171997807,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.086053,7.746444665433633E-7,40000.0,92.58,83.52207881545154,82.35014272121788,75.54383651944626,94.39153439153439,89.03988183161005,89.63537180591445,99.340804218853,68.73430293979264,40000.0,1150976.0,10.0,0.7346354867904468,0.2653645132095534,62643.7,137.00369013683945,106024.0,6393.31428568591,53.800000000000004,3.675746333890726,27.400000000000002,1.837873166945363,27.400000000000002,1.837873166945363,13.6,2.1186998109427604,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.45644,8.935823822166357E-7,45000.0,92.65333333333334,83.67515272324229,82.53381234150464,75.77489558144647,94.45004029008864,89.13643533123027,89.7234714381399,99.3844801055177,68.75826342041688,45000.0,1241272.0,10.0,0.8952176540414116,0.10478234595858835,70497.9,131.06355540559485,114792.0,6930.85186362799,57.6,4.005551702879948,29.3,2.002775851439974,29.3,2.002775851439974,13.6,2.1186998109427604,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.811918,1.0142120540700853E-6,50000.0,92.716,83.82560574483219,82.71804118819398,76.03947368421052,94.49299906250945,89.24585129628537,89.78735632183908,99.42105263157895,68.7765237841769,50000.0,1311728.0,10.0,0.6796488134160862,0.32035118658391387,78313.3,185.2710027080458,121635.2,7458.6644738406985,60.6,4.880801391392834,30.8,2.440400695696417,30.8,2.440400695696417,13.6,2.1186998109427604,0.0,0.0,0.0,0.0,1.0,0.0
