learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.877095,7.951843980699776E-8,5000.0,85.34,62.77570355443789,55.44072948328268,29.51923076923078,90.05292441308181,72.13987077156975,83.78787878787878,91.25,66.15094080734582,5000.0,350448.0,10.0,0.673326238503229,0.32667376149677096,6833.700000000001,90.75247165290385,28602.399999999998,5256.165801545203,16.2,3.675746333890726,8.6,1.8378731669453627,8.6,1.8378731669453627,4.499999999999999,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.655839,1.9190340703146324E-7,10000.0,86.57000000000001,65.86155521027909,59.25364077669904,35.46371936568956,90.89182773821634,74.44338725023788,84.61927010986236,93.99327246516098,66.82300176118687,10000.0,557848.0,10.0,0.8970871761208776,0.10291282387912229,13728.3,93.55930976896128,48609.6,6379.635155015615,27.0,4.216370213557839,14.0,2.1081851067789197,14.0,2.1081851067789197,6.8,0.7888106377466156,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.186362,2.9219449663327796E-7,15000.0,87.00666666666666,66.68054834688336,60.126841243862515,36.36957231472414,91.23138525217078,74.92602598739225,84.93758900896373,95.07019262161279,67.08348933056787,15000.0,730736.0,10.0,0.9512445424171346,0.04875545758286545,20704.7,109.46135797115303,65340.799999999996,5568.919719698287,35.2,3.9384147967311813,18.1,1.9692073983655907,18.1,1.9692073983655907,8.5,0.8498365855987976,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.73279,4.2177193185521493E-7,20000.0,87.46000000000001,67.65869660291877,61.36783733826249,38.302583025830295,91.56067030082778,75.60785839330869,85.37809852525886,95.62115621156212,67.2679817477864,20000.0,916640.0,10.0,0.7663745223610334,0.23362547763896643,27626.000000000004,102.12193147844769,83239.2,7300.56918328975,45.4,4.4020197384584465,23.2,2.2010098692292233,23.2,2.2010098692292233,10.200000000000003,1.2292725943057186,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.290083,5.725125102843675E-7,25000.0,87.848,68.54619633190092,62.63222632226324,40.22038567493115,91.83465032521636,76.25449429420041,85.77166382166884,95.98583234946871,67.40873388722294,25000.0,1045560.0,10.0,0.7012069619861196,0.2987930380138804,34490.9,96.971301596572,95740.0,5916.561463853439,51.2,3.7058512292499453,26.1,1.8529256146249726,26.1,1.8529256146249726,10.9,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.811991,7.342975262200666E-7,30000.0,87.95333333333333,68.67950451080131,62.657573878900585,40.23482718703487,91.92438326778692,76.29853095487933,85.8723333194172,96.19646105506862,67.4664350574576,30000.0,1198248.0,10.0,0.8981456255242074,0.10185437447579253,41391.0,149.05330888272448,110478.4,7537.090555674946,59.0,5.656854249492381,30.0,2.8284271247461903,30.0,2.8284271247461903,11.6,0.8432740427115679,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.451892,9.664097862711383E-7,35000.0,88.01714285714286,68.79464497995615,63.00608626620801,40.72922555115886,91.97166921898928,76.38513513513513,86.02993840424008,95.8592425098926,67.43314854619585,35000.0,1402128.0,10.0,0.8313954456586273,0.16860455434137273,48298.799999999996,149.26918264963095,130056.8,14553.676502290875,74.19999999999999,7.254117604658903,37.599999999999994,3.6270588023294517,37.599999999999994,3.6270588023294517,12.1,0.7378647873726217,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.07525,1.199587285483463E-6,40000.0,88.13499999999999,69.04080901806398,63.44731977818853,41.38569840681731,92.05690376569036,76.56296296296297,86.20505908535247,95.73916265283438,67.44335062446609,40000.0,1445944.0,10.0,0.8720748609815003,0.12792513901849967,55150.7,160.06043997329363,134228.8,16090.994229347321,88.0,6.342099196813481,44.5,3.1710495984067406,44.5,3.1710495984067406,12.9,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.653193,1.431046136489345E-6,45000.0,88.13555555555556,69.02877374713987,63.51646849801832,41.47116860337644,92.05825040534309,76.55557019277215,86.24783990188973,95.56018417013813,67.41810292347817,45000.0,1548072.0,10.0,0.8711743545813816,0.12882564541861838,62058.7,113.57528095692469,144168.8,12533.555998022091,100.0,9.439868172337532,50.5,4.719934086168766,50.5,4.719934086168766,13.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.074024,1.600106194095893E-6,50000.0,88.78,70.19252758014757,65.24163568773234,42.98780487804879,92.55474452554743,77.24137931034483,86.82768924302789,96.7479674796748,67.7450471847763,50000.0,1552872.0,10.0,0.7872908225847831,0.21270917741521678,68986.5,163.1347432169018,144648.80000000002,13358.878169799867,110.6,7.471427053931679,55.8,3.7357135269658395,55.8,3.7357135269658395,13.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
