learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.675787,3.480167836157812E-8,5000.0,93.89999999999999,87.64916168178732,87.19563392107472,85.10742187499999,94.57198789820252,93.0381191508788,90.09833841980333,99.36616284739152,68.82305232754409,5000.0,199064.0,10.0,0.9068978980208361,0.09310210197916399,4983.3,68.98478093028926,14034.4,3994.4424503163004,7.000000000000001,2.8284271247461903,3.9999999999999996,1.4142135623730951,3.9999999999999996,1.4142135623730951,2.6999999999999993,0.8232726023485645,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.2421,7.972263269954256E-8,10000.0,93.77,87.34332745912037,86.76439345655407,84.48705179282868,94.52403972927837,92.77513626348139,89.9013542885805,99.52724558347848,68.8165314208837,10000.0,306616.0,10.0,0.47595908203601367,0.5240409179639862,9980.100000000002,62.197624106105835,24434.4,5777.707411537325,12.2,3.9101008796307144,6.6,1.9550504398153572,6.6,1.9550504398153572,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.692346,1.2700750036372077E-7,15000.0,94.19333333333333,88.18403066996953,87.82499301090299,85.53636665559613,94.91505633720591,93.2328490404786,90.57381615598887,99.5850622406639,68.94905336490356,15000.0,405952.0,10.0,0.656035324965702,0.34396467503429784,15012.599999999999,85.42599136094356,34068.8,5319.272398030058,16.6,3.3730961708462712,8.8,1.6865480854231356,8.8,1.6865480854231356,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.099728,1.7927335959755713E-7,20000.0,94.435,88.66411632030331,88.2842105263158,86.13084112149532,95.13825186738303,93.49389138948968,90.96224523889074,99.61385151968112,69.02465080653647,20000.0,495928.0,10.0,0.5699130477036389,0.43008695229636107,20015.699999999997,77.68747932868267,42780.799999999996,5706.066261250195,20.8,3.3266599866332394,10.9,1.6633299933166197,10.9,1.6633299933166197,7.7,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.498528,2.3835253975871538E-7,25000.0,94.512,88.82359988576219,88.42780026990552,86.36860407352209,95.20011195074167,93.59357489727309,91.11974283418162,99.54310687326182,69.04035952025515,25000.0,572640.0,10.0,0.4643604131231388,0.5356395868768612,24972.3,79.35580914113629,50220.8,4519.518086404051,24.2,2.3475755815545347,12.6,1.1737877907772674,12.6,1.1737877907772674,9.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.911027,3.067099764260153E-7,30000.0,94.64,89.06801471521362,88.68880135059088,86.64118966519897,95.33019689841437,93.71039662051162,91.38641425389756,99.49335548172758,69.07962249021507,30000.0,640568.0,10.0,0.6433482838537435,0.35665171614625657,29947.7,105.47885517433784,56838.4,5015.382276335252,26.8,3.32665998663324,13.9,1.66332999331662,13.9,1.66332999331662,10.0,1.0540925533894596,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.318526,3.805185114964843E-7,35000.0,94.70285714285714,89.18902312486114,88.84275139916953,86.78451778458907,95.39241512997664,93.77057993414422,91.52995040061045,99.44412770809579,69.09668554075265,35000.0,700136.0,10.0,0.5786655364136697,0.42133446358633037,34964.7,95.31357604128526,62644.00000000001,4490.7019000993105,29.0,2.494438257849294,15.0,1.247219128924647,15.0,1.247219128924647,11.0,1.6996731711975952,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.747964,4.6533891152590516E-7,40000.0,94.8,89.39337769417129,89.05378381223028,87.07833757843075,95.46821212253256,93.90065098821184,91.66945606694561,99.4472049689441,69.1224748247431,40000.0,763488.0,10.0,0.6616263963158928,0.3383736036841071,39927.5,131.33946686185203,68790.40000000001,5879.265018312711,31.8,4.3410188256265885,16.4,2.1705094128132942,16.4,2.1705094128132942,11.8,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.180589,5.5688263328539E-7,45000.0,94.86222222222223,89.51685233999848,89.20735692278966,87.22793061540162,95.52596950228347,93.9672268030477,91.77170477783974,99.45318972659486,69.14204482520651,45000.0,817936.0,10.0,0.679235074317067,0.3207649256829328,44919.2,112.1752597005638,74044.8,7434.967186657023,34.6,4.880801391392833,17.8,2.4404006956964164,17.8,2.4404006956964164,12.5,1.649915822768611,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.90983,6.460501212399039E-7,50000.0,88.32,75.46168998366353,75.6463719766472,70.87281795511223,90.42936742051786,85.01795792714213,92.21256684491979,82.5199203187251,66.09320826749993,50000.0,472648.0,10.0,0.6938798236208761,0.3061201763791238,48885.6,146.0351555847651,40385.6,46515.628005124374,29.3,24.576637506199074,5.9,23.525163832231506,5.9,23.525163832231506,5.4,6.275171533733383,0.0,0.0,0.0,0.0,1.0,0.0
