learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.408504,8.936324218908946E-9,5000.0,72.04,39.58740009233882,15.681544028950556,-34.0364333652924,79.36835891381347,56.637717121588096,67.95552185999495,87.535953978907,62.34811060467309,5000.0,84560.0,10.0,0.8426320089031599,0.15736799109684005,1806.1,33.98839671286528,2968.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.835255,2.65271443190674E-8,10000.0,70.78,38.46907262279304,10.092307692307676,-44.868616757560744,78.20053715308862,55.70042449969678,65.65201052236002,91.0758552305404,62.59550018829238,10000.0,159336.0,10.0,0.7331312890815739,0.2668687109184262,3482.0,25.999999999999993,10146.4,1205.8762788943152,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.2000000000000006,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.204315,4.457517979666591E-8,15000.0,69.93333333333334,38.28013701535882,7.239819004524911,-47.820386758439824,77.19227268129868,55.89673381576373,63.87145367813206,93.67420517862996,62.758596792941844,15000.0,189032.0,10.0,0.7937203821018801,0.20627961789812,5256.299999999999,47.18062219927924,13048.0,1998.4954340703407,6.3999999999999995,1.3498971154211057,3.6999999999999997,0.6749485577105528,3.6999999999999997,0.6749485577105528,2.5999999999999996,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.541989,6.75003221941491E-8,20000.0,69.475,38.26845410214566,6.3362994783675815,-49.04785156250002,76.60112682534206,56.10755625853764,62.83324949698189,95.263671875,62.868299120459326,20000.0,262432.0,10.0,0.8260503912001298,0.17394960879987012,7039.499999999999,55.01767392797032,20129.599999999995,1486.3398145930303,10.2,1.0327955589886444,5.6,0.5163977794943222,5.6,0.5163977794943222,4.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.827151,8.92623579564194E-8,25000.0,70.332,39.4595191393592,7.840457256461211,-46.494173414971364,77.42504945974737,56.739574219889185,63.79595726538596,96.06952399762987,63.21896101309634,25000.0,294992.0,10.0,0.8137276663013087,0.18627233369869148,8708.7,71.98618694660179,23290.399999999998,2684.723002471577,11.600000000000001,1.6465452046971292,6.300000000000001,0.8232726023485646,6.300000000000001,0.8232726023485646,4.699999999999999,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.148685,1.1962544695163767E-7,30000.0,71.36666666666667,40.93912294941357,10.91059946069281,-41.63231657048636,78.36272040302265,57.684729064039395,64.98851054940464,96.53751030502885,63.54644381364576,30000.0,365024.0,10.0,0.8001887986382799,0.19981120136172006,10414.800000000001,79.17603453346452,30011.199999999997,2445.8354991472524,15.799999999999999,2.1499353995462798,8.4,1.07496769977314,8.4,1.07496769977314,6.200000000000001,0.4216370213557841,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.39392,1.4591296123340727E-7,35000.0,72.24285714285715,42.213503976319345,13.705809202344998,-37.50884642604389,79.14743823649358,58.50241339541241,65.9996420261321,96.92852087756546,63.82165833470985,35000.0,414352.0,10.0,0.767637307519399,0.23236269248060104,12138.8,95.4402663682604,34818.4,3771.626563345493,17.6,2.8362729848243533,9.3,1.4181364924121767,9.3,1.4181364924121767,6.7,0.483045891539648,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.654654,1.7739095470350652E-7,40000.0,72.9525,43.24343791268051,15.766116474618505,-34.23076923076923,79.7817271215264,59.156631054399945,66.83155917345022,97.20843672456576,64.03904978566123,40000.0,466672.0,10.0,0.9192285237505048,0.08077147624949527,13824.0,115.71708795352761,39848.0,3412.9708140823263,20.6,2.458545188611437,10.8,1.2292725943057186,10.8,1.2292725943057186,7.6,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.905009,2.1204182722709247E-7,45000.0,73.69333333333333,44.3595074492322,18.189357290946795,-30.503803329291173,80.4265873015873,59.89837398373984,67.69183667789251,97.46444713923492,64.25657239090945,45000.0,535008.0,10.0,0.6690856021447769,0.33091439785522314,15561.199999999999,103.62517926535912,46462.4,4431.03045953572,23.8,3.155242550986462,12.4,1.577621275493231,12.4,1.577621275493231,8.2,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.111091,2.4262547125212024E-7,50000.0,74.344,45.250883770579655,19.7748592870544,-27.972865123703123,81.02254571276407,60.41229477842243,68.50110066039625,97.64565043894653,64.44896257880005,50000.0,573656.0,10.0,0.8586823338166806,0.1413176661833194,17197.300000000003,126.66934207700837,50209.6,5671.285709607654,25.6,3.1340424729448424,13.3,1.5670212364724212,13.3,1.5670212364724212,8.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.316193,2.7576422165872327E-7,55000.0,80.30000000000001,54.939409288136,38.05031446540881,2.7640671273445454,85.95866001425517,67.00167504187604,75.62076749435666,98.7166831194472,66.01845397572633,55000.0,624552.0,10.0,0.570494775957272,0.42950522404272795,18923.0,108.65644123668991,55173.600000000006,4285.69929986798,27.4,2.270584848790187,14.2,1.1352924243950935,14.2,1.1352924243950935,9.2,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
