learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.481501,1.7301532050801646E-8,5000.0,70.88,42.749319243794,31.125827814569522,4.399212081418243,75.16206073012623,64.81391976800388,63.43219118917362,87.81925343811395,61.49216304279912,5000.0,138896.0,10.0,0.7151515559623035,0.28484844403769644,2896.3,59.872178662361875,8208.8,290.12671561080185,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.836646,3.604429021063778E-8,10000.0,69.95,42.753355929723604,28.315839694656493,1.4430960970809972,73.42354293800301,65.43195674680777,59.752411112710526,93.15427448411398,61.82772145179387,10000.0,204000.0,10.0,0.7058183571682611,0.2941816428317388,5792.4,54.41445886281813,14528.8,1136.2281461044697,7.800000000000001,1.0327955589886444,4.400000000000001,0.5163977794943223,4.400000000000001,0.5163977794943223,3.4000000000000004,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.252927,6.75705333861212E-8,15000.0,70.77333333333333,44.51938321145399,31.188196515460675,4.007006787825702,74.05917159763314,66.53435114503817,60.00575318822514,95.34018814263837,62.318925963719785,15000.0,292744.0,10.0,0.5783260658136233,0.4216739341863766,8700.199999999999,69.98698291666639,23119.199999999997,3963.6686934090635,12.0,2.3570226039551585,6.5,1.1785113019775793,6.5,1.1785113019775793,5.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.620226,1.0539629959190886E-7,20000.0,73.05,48.08402855224318,36.40868334119868,10.331059723839635,76.59167897159733,68.2455520207376,63.05327136217376,96.29260182876142,63.11613763351952,20000.0,398080.0,10.0,0.6683967006854431,0.33160329931455684,11474.2,59.31235584223192,33324.799999999996,3189.492080776081,16.8,2.2010098692292237,8.9,1.1005049346146119,8.9,1.1005049346146119,6.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.97468,1.4862543696537614E-7,25000.0,75.032,51.34215243646477,41.12986890502688,17.137926456922877,78.57633168588688,70.08243865030676,65.55002004237531,97.00145946663129,63.747839082789035,25000.0,471432.0,10.0,0.6453932605778568,0.35460673942214327,14340.3,66.35602626907553,40388.0,2532.3570048474603,20.8,1.751190071541826,10.9,0.875595035770913,10.9,0.875595035770913,7.500000000000001,0.5270462766947297,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.346209,2.0448660027235746E-7,30000.0,76.85333333333332,54.35886089654788,45.30560806553245,23.29614492433445,80.38528896672504,71.770062606716,67.94155565105285,97.46052776857678,64.30437065620612,30000.0,581192.0,10.0,0.7411959001571189,0.2588040998428811,17207.7,103.69404783089362,50933.6,4974.267722768627,27.2,4.4671641514002545,14.1,2.2335820757001272,14.1,2.2335820757001272,8.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.72254,2.721708131002055E-7,35000.0,78.3,56.773284012635564,48.55033193334237,28.077651515151526,81.81230393448119,73.10647639956093,69.9050581109838,97.71866717152594,64.73479073931377,35000.0,695216.0,10.0,0.6273267418608545,0.3726732581391454,20086.0,89.50729330929185,61967.2,6989.155231102285,32.6,4.1952353926806065,16.8,2.0976176963403033,16.8,2.0976176963403033,9.299999999999999,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.097406,3.47767959224681E-7,40000.0,79.41,58.68935922962778,51.06939163498099,31.877584780810604,82.86522697956975,74.20930669505856,71.3645810936716,97.97420208367785,65.0651179929287,40000.0,779528.0,10.0,0.5731026181560295,0.4268973818439705,22976.0,107.07214597851468,70141.6,5999.221342066909,36.4,4.221637386396685,18.7,2.1108186931983424,18.7,2.1108186931983424,9.8,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.46493,4.2906178748855984E-7,45000.0,80.28444444444445,60.16217113604853,53.1697017682766,34.54330824848755,83.72707263389582,74.99436302142051,72.59080211182494,98.12656734031569,65.32942856250554,45000.0,855016.0,10.0,0.6338762577852018,0.36612374221479815,25753.899999999998,98.48344474524055,77457.6,7260.045717639952,39.8,4.341018825626589,20.4,2.1705094128132947,20.4,2.1705094128132947,10.2,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.693099,4.810706670727167E-7,50000.0,80.84,50.56963592834146,20.365752285951803,-29.110512129380066,87.32133403917418,60.801963993453356,77.5140977443609,99.86559139784946,66.59198321536354,50000.0,881096.0,10.0,0.9999856658879729,1.4334112027078302E-5,27191.100000000002,117.60522475166161,80011.19999999998,7046.9492973910355,40.6,5.146735750831676,20.8,2.573367875415838,20.8,2.573367875415838,10.2,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
