learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.673185,3.3220117166638377E-8,5000.0,93.28,84.76331717821712,84.28437792329278,77.96721311475409,95.00742942050519,89.72477064220183,92.10602131950446,95.9450621321125,68.56585948043256,5000.0,190752.0,10.0,0.6650926713345854,0.3349073286654146,4983.3,68.98478093028926,13230.4,3849.857348006547,6.6000000000000005,3.098386676965933,3.8000000000000003,1.5491933384829666,3.8000000000000003,1.5491933384829666,2.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.163385,6.777063496410847E-8,10000.0,93.45,85.19260688338058,84.62080300540032,78.41845140032949,95.12322239594967,90.02892373268382,91.76842407700043,97.30174399473512,68.75139418072472,10000.0,272448.0,10.0,0.749584046330488,0.2504159536695119,9980.100000000002,62.197624106105835,21126.4,5843.946064090598,10.6,3.0983866769659336,5.8,1.5491933384829668,5.8,1.5491933384829668,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.564646,1.0107757578914364E-7,15000.0,93.67333333333333,85.6196904229987,85.12772292744083,78.90642364969993,95.31381166362156,90.26566827366909,91.9405544441269,97.71263602043082,68.85731451061639,15000.0,320856.0,10.0,0.7062904247208349,0.2937095752791651,15012.599999999999,85.42599136094356,25819.2,7311.621872060946,12.799999999999999,4.049691346263318,6.8999999999999995,2.024845673131659,6.8999999999999995,2.024845673131659,4.6000000000000005,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.952523,1.4267781368767223E-7,20000.0,93.735,85.75038236284453,85.27614571092832,79.13057961359094,95.36183601702758,90.35040431266846,92.05974842767296,97.6364846870839,68.8651278069599,20000.0,414576.0,10.0,0.7633821336858391,0.23661786631416107,20015.699999999997,77.68747932868267,34917.6,6991.851562116195,16.8,3.7058512292499457,8.9,1.8529256146249726,8.9,1.8529256146249726,5.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.320117,1.8906985157272882E-7,25000.0,93.796,85.85621784519189,85.33749290981282,79.28685897435898,95.41626030676478,90.40400915671596,92.20356408498972,97.51735184196477,68.86960794264667,25000.0,487840.0,10.0,0.8052019829142486,0.19479801708575145,24972.3,79.35580914113629,41944.799999999996,5917.895662029424,21.200000000000003,3.1902629637347726,11.100000000000001,1.5951314818673863,11.100000000000001,1.5951314818673863,7.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.680414,2.4088143005139295E-7,30000.0,93.75333333333333,85.78261622226957,85.19864149751204,79.24005760496289,95.3774050320671,90.36998972250771,92.19800658114359,97.3646329310154,68.84087439743901,30000.0,555864.0,10.0,0.624389659393867,0.37561034060613313,29947.7,105.47885517433784,48570.4,5800.959368932004,23.8,3.4253953543107007,12.4,1.7126976771553504,12.4,1.7126976771553504,7.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.057263,3.0207386741828584E-7,35000.0,93.87142857142857,86.02969962114295,85.4279891304348,79.61414179813724,95.47076585231952,90.5260368358288,92.3714962817684,97.35892076762302,68.8713323977022,35000.0,627672.0,10.0,0.6958125556661547,0.3041874443338451,34964.7,95.31357604128526,55506.4,6539.292030997443,27.400000000000002,3.9777157040470126,14.200000000000001,1.9888578520235063,14.200000000000001,1.9888578520235063,8.899999999999999,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.397749,3.6289620221695964E-7,40000.0,93.86250000000001,85.98633950658387,85.35377639899775,79.5382563760627,95.47073040237625,90.48338954141954,92.41374383884563,97.24212631228129,68.85780096530947,40000.0,690504.0,10.0,0.6249224366055365,0.37507756339446363,39927.5,131.33946686185203,61640.0,5788.021961104003,29.599999999999998,3.4058772731852804,15.299999999999999,1.7029386365926402,15.299999999999999,1.7029386365926402,9.8,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.739594,4.2773714452774987E-7,45000.0,93.92888888888888,86.11799026258429,85.52122529015845,79.72692193529235,95.52527270940479,90.56173564568508,92.51586294416244,97.23293768545994,68.87466889750222,45000.0,733200.0,10.0,0.6701713324672048,0.32982866753279516,44919.2,112.1752597005638,65775.2,6472.40427249926,31.6,4.623610902506587,16.3,2.3118054512532935,16.3,2.3118054512532935,10.1,0.7378647873726217,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.083543,4.985131427107586E-7,50000.0,93.984,86.24861198755892,85.65227760553303,79.95735607675907,95.56420692502802,90.65490244811731,92.60889447810679,97.18891553423927,68.88356299080827,50000.0,795416.0,10.0,0.5481900556776874,0.4518099443223125,49915.3,145.87365156950807,71806.4,8225.228442622936,34.4,5.25357021462548,17.7,2.62678510731274,17.7,2.62678510731274,10.899999999999999,1.1005049346146123,0.0,0.0,0.0,0.0,1.0,0.0
