learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.496357,2.0473357310725582E-8,5000.0,91.28,76.79743758563926,72.91925465838507,57.95564127290258,94.20520999468367,82.39095315024232,89.42720161493818,98.36065573770492,68.51785485416248,5000.0,159440.0,10.0,0.9368100653782994,0.06318993462170071,1851.3,55.16248725356753,10170.4,1834.8257682951805,5.2,1.1352924243950933,3.1,0.5676462121975466,3.1,0.5676462121975466,2.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.775678,3.393462924493683E-8,10000.0,90.86,75.6360627002994,71.27592708988058,54.81957488877903,93.9365795409314,81.44539179861957,88.75517111696126,99.15966386554622,68.54101600182688,10000.0,186288.0,10.0,0.8136454822973994,0.1863545177026007,3536.7999999999997,54.804298290472715,12800.8,2310.4645420347833,6.0,1.4142135623730951,3.5,0.7071067811865476,3.5,0.7071067811865476,2.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.05939,5.175471161802609E-8,15000.0,90.7,75.12678741223591,70.76697401508802,53.375668449197875,93.84241889207681,81.0074880871341,88.52431712191871,99.43181818181817,68.5485476329982,15000.0,242792.0,10.0,0.8623978977618296,0.1376021022381704,5224.200000000001,91.50081966845968,18220.0,1995.9078135024172,9.4,1.5776212754932308,5.2,0.7888106377466154,5.2,0.7888106377466154,4.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.330638,7.087013984719911E-8,20000.0,90.885,75.59013493312796,71.56006240249611,54.367959949937436,93.96777075543496,81.35801206667348,88.71602624179944,99.57446808510639,68.60949174984935,20000.0,272408.0,10.0,0.8085732167629875,0.1914267832370124,6940.200000000001,77.17627729929539,21113.6,2660.5711667484734,10.4,1.6465452046971292,5.7,0.8232726023485646,5.7,0.8232726023485646,4.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.558188,8.981930361439783E-8,25000.0,91.01599999999999,76.01127411159601,72.00199451508351,55.40111199364573,94.0452834190572,81.71307604624654,88.83991184131436,99.64257347100873,68.64446177812219,25000.0,321896.0,10.0,0.8604531328337056,0.1395468671662944,8709.1,80.7099746004172,25885.6,1681.654423477071,13.0,0.9428090415820636,7.0,0.4714045207910318,7.0,0.4714045207910318,5.799999999999999,0.42163702135578424,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.763932,1.0860216262853806E-7,30000.0,91.18333333333334,76.38830966435206,72.58214989115788,56.186847772072255,94.16359584280323,81.98351610925685,89.04143888494764,99.68527414278616,68.68892069099168,30000.0,352888.0,10.0,0.7488858643117599,0.25111413568824015,10414.900000000001,109.84580101214617,28904.8,2616.820666381248,14.2,1.3984117975602022,7.6,0.6992058987801011,7.6,0.6992058987801011,6.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.981212,1.300255547919207E-7,35000.0,91.34571428571428,76.73814514746189,73.01799394263317,56.88869911756333,94.28026512075836,82.2273073989321,89.24000857939515,99.7295758610874,68.7331041857711,35000.0,381128.0,10.0,0.792334366421549,0.20766563357845103,12133.900000000001,112.9547106882517,31635.2,2289.3211414934535,15.6,0.9660917830792958,8.3,0.48304589153964805,8.3,0.48304589153964805,7.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.219509,1.5604626880544753E-7,40000.0,91.5975,77.34108538331397,73.85453131077401,58.18611594924109,94.45388689955611,82.67436465797206,89.54383330204618,99.76362279173924,68.79452305485253,40000.0,422088.0,10.0,0.6617482913453713,0.3382517086546287,13877.9,113.69398498699125,35632.799999999996,2021.8977224380071,17.0,1.3333333333333333,9.0,0.6666666666666666,9.0,0.6666666666666666,7.699999999999999,0.8232726023485648,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.438424,1.8147650778707529E-7,45000.0,91.7911111111111,77.76063809702151,74.34722222222221,59.02839396628215,94.59245813327087,82.96753965326448,89.78712761227212,99.78926353149956,68.84337134825903,45000.0,449032.0,10.0,0.6943095278658845,0.30569047213411543,15549.5,109.27361173779444,38259.200000000004,2172.8742255363063,18.000000000000004,1.4142135623730954,9.500000000000002,0.7071067811865477,9.500000000000002,0.7071067811865477,8.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.683309,2.1225642048236394E-7,50000.0,92.01,78.23780383991517,74.949836970153,59.985977564102576,94.74860335195531,83.30198537095089,90.0639744102359,99.80969551282051,68.89732758297966,50000.0,485856.0,10.0,0.7802909931190402,0.21970900688095982,17227.9,108.26659482756206,41805.6,2817.9994164497457,20.0,1.6996731711975945,10.5,0.8498365855987973,10.5,0.8498365855987973,9.1,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
