learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.501038,2.0266172521644168E-8,5000.0,91.7,77.73679679392708,74.0948813982522,59.708737864077676,94.50403920010595,83.05430788076767,89.91935483870968,98.54651162790698,68.64143545749474,5000.0,156352.0,10.0,0.8640197394582524,0.1359802605417477,1970.3999999999999,40.519405501836076,9954.4,564.8305940722404,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.793463,3.3355534432662856E-8,10000.0,91.97999999999999,78.35184673323428,74.92966552047513,60.647693817468074,94.7055716926327,83.47073371805442,90.11306532663316,99.26470588235294,68.80729816105739,10000.0,173024.0,10.0,0.712935027923436,0.2870649720765639,3917.5,42.53168753346669,11596.0,1016.5510316752427,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.2000000000000006,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.171053,5.7212800785071316E-8,15000.0,91.86,78.2205829820166,74.92813141683777,60.447035957240026,94.60474570279703,83.43058759668884,89.87490554949207,99.51440595662027,68.80939461768871,15000.0,244232.0,10.0,0.9365101213170371,0.06348987868296281,5952.099999999999,71.43054124268018,18429.6,1280.8888580461096,9.6,0.9660917830792958,5.3,0.4830458915396479,5.3,0.4830458915396479,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.42349,7.48860722573267E-8,20000.0,91.855,78.0196204235372,74.71674685705416,59.757905138339915,94.62393980396686,83.20445406742965,89.88087774294671,99.62962962962963,68.83140768801992,20000.0,270624.0,10.0,0.7739054641004542,0.22609453589954573,7810.3,70.5361215579964,21014.4,1699.2999342866658,10.399999999999999,1.349897115421106,5.699999999999999,0.674948557710553,5.699999999999999,0.674948557710553,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.655483,9.448754444511399E-8,25000.0,91.796,77.8213895839124,74.46464143426294,59.2489568845619,94.58996069742291,83.03416328894035,89.80716253443526,99.68222442899702,68.82757204845895,25000.0,326600.0,10.0,0.8901537523612859,0.10984624763871415,9683.3,55.421716561891934,26368.8,2511.2283315806494,14.0,1.699673171197595,7.5,0.8498365855987975,7.5,0.8498365855987975,5.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.840334,1.1219052787663207E-7,30000.0,91.90666666666667,78.09273827508105,74.92253666597811,59.821280820784395,94.66561209245101,83.2366749516708,89.93529534543937,99.7187758478081,68.85747439335243,30000.0,370192.0,10.0,0.7425731871485717,0.2574268128514282,11613.5,58.52682196129283,30658.4,2486.7007683095107,14.999999999999998,1.6329931618554525,7.999999999999999,0.8164965809277263,7.999999999999999,0.8164965809277263,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.007387,1.2904712720256712E-7,35000.0,92.02571428571429,78.37296373433502,75.2373347529057,60.39449411096922,94.74833004045537,83.44111539602493,90.07548924904297,99.75883103986382,68.89018803300416,35000.0,390048.0,10.0,0.6090575992332591,0.39094240076674097,13552.5,62.84593153984661,32603.199999999997,2724.785854990363,15.6,1.6465452046971292,8.3,0.8232726023485646,8.3,0.8232726023485646,6.200000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.238667,1.5515219963466127E-7,40000.0,92.1575,78.64681467993168,75.5875486381323,60.91452778469974,94.84393747637283,83.62649407589122,90.2414612786188,99.78824115595415,68.92563065264129,40000.0,436304.0,10.0,0.8193736048362252,0.18062639516377474,15433.100000000002,86.67365356451829,37039.99999999999,2421.2099821737443,18.400000000000002,1.6465452046971296,9.700000000000001,0.8232726023485648,9.700000000000001,0.8232726023485648,7.3999999999999995,0.6992058987801008,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.453071,1.816474221336345E-7,45000.0,92.24444444444444,78.82803087286965,75.8142758142758,61.25666074600353,94.90689393497168,83.74930154591172,90.3500972492359,99.81132075471699,68.94951377710231,45000.0,477680.0,10.0,0.7686763628642322,0.23132363713576765,17315.8,88.19019849796886,41080.799999999996,2947.400089721259,19.8,1.9321835661585915,10.4,0.9660917830792958,10.4,0.9660917830792958,8.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.675244,2.1017360648347273E-7,50000.0,93.16,80.76890635806946,77.82101167315174,64.9230769230769,95.5630513751946,85.07853403141361,91.50310559006212,100.0,69.19232356086586,50000.0,496312.0,10.0,0.6204157968960109,0.3795842031039889,19205.1,130.17291918401793,42916.799999999996,3380.277858401584,20.2,2.3475755815545343,10.6,1.1737877907772671,10.6,1.1737877907772671,8.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
