learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.483313,1.7393648949348264E-8,5000.0,71.76,40.06148028107601,11.027095148078143,-38.16046966731896,78.99434692055935,56.92495424039048,66.7420814479638,91.29158512720157,62.85572101550609,5000.0,139112.0,10.0,0.7820292183236349,0.21797078167636497,1970.0,40.8248290463863,8298.4,2543.5836137229694,3.9999999999999996,1.699673171197595,2.5,0.8498365855987975,2.5,0.8498365855987975,1.2999999999999998,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.764966,3.308094063773751E-8,10000.0,72.53,41.913314111228864,13.507556675062954,-34.45912873225649,79.5229221021245,58.28397873955961,67.03531481714215,93.93049437102302,63.436150810906945,10000.0,215296.0,10.0,0.7640428834321004,0.23595711656789967,3929.1,48.87501065643534,15604.0,4068.253679405944,8.6,2.4585451886114367,4.8,1.2292725943057183,4.8,1.2292725943057183,2.8,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.042818,5.1939511532998745E-8,15000.0,74.45333333333333,45.340849441997406,20.76095947063691,-23.61290322580643,81.06157951962044,60.761826745852964,68.91596638655462,95.70967741935485,64.15326254484441,15000.0,262360.0,10.0,0.8041861172988416,0.19581388270115835,5989.0,53.297904899411094,20188.0,5183.015338584288,10.4,2.988868236194653,5.7,1.4944341180973264,5.7,1.4944341180973264,3.3000000000000007,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.331348,7.80842383350763E-8,20000.0,75.39,46.72760745524297,23.68992248062016,-20.224719101123593,81.90041921011988,61.56489145712947,70.01131648434553,96.28724963361016,64.47840066990567,20000.0,350264.0,10.0,0.713769687168166,0.2862303128318339,7911.8,54.317584629657354,28624.8,4502.818791231407,15.6,2.836272984824353,8.3,1.4181364924121764,8.3,1.4181364924121764,4.8999999999999995,0.567646212197547,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.545711,1.0022621103045013E-7,25000.0,75.744,47.31602826574318,24.464374688589928,-19.32310114128295,82.2097048641671,61.895186628126176,70.34340797268803,96.91066509248327,64.6633731460808,25000.0,399272.0,10.0,0.8299882232558119,0.17001177674418808,9789.799999999997,65.66379012312166,33404.8,4628.74220496238,17.4,2.4585451886114367,9.2,1.2292725943057183,9.2,1.2292725943057183,5.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.771931,1.2690954748541117E-7,30000.0,76.16000000000001,48.03740680911176,25.886010362694318,-17.457710625718505,82.55269320843091,62.373737373737384,70.76241060599725,97.35588766628346,64.83022024339434,30000.0,455944.0,10.0,0.8798513109804458,0.12014868901955426,11724.400000000001,83.48546114277693,38893.6,3228.8060125480847,20.0,1.6996731711975948,10.5,0.8498365855987974,10.5,0.8498365855987974,6.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.988712,1.5594580436125398E-7,35000.0,76.78857142857143,48.961149558758954,27.41243745532524,-15.136054421768709,83.10878243512974,62.910883856829805,71.5216146578872,97.64739229024943,65.03249321457248,35000.0,517752.0,10.0,0.8502723007874572,0.1497276992125428,13593.199999999999,104.38688721397082,44831.200000000004,3623.882166345307,23.599999999999998,2.319003617456812,12.299999999999999,1.159501808728406,12.299999999999999,1.159501808728406,6.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.20381,1.8837451623752713E-7,40000.0,77.435,49.96788210752353,29.318715740015666,-12.207856787667867,83.65861606981207,63.55487361705564,72.29941169107524,97.83689706613626,65.21815482617005,40000.0,582768.0,10.0,0.9170565414735208,0.08294345852647911,15484.5,106.85946118357712,51103.2,3966.905673471733,27.0,2.494438257849294,14.0,1.247219128924647,14.0,1.247219128924647,7.4,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.423395,2.2493718830868603E-7,45000.0,78.26444444444445,51.37243903794544,32.2269955654102,-7.767739092111031,84.33109591016132,64.53203756753815,73.26856697472441,98.03878360511239,65.4422169894627,45000.0,643632.0,10.0,0.9061080771555091,0.09389192284449092,17476.4,102.42742688253804,57009.6,4042.668073878383,29.599999999999998,2.988868236194653,15.299999999999999,1.4944341180973264,15.299999999999999,1.4944341180973264,7.7,0.8232726023485645,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.637455,2.63534402406464E-7,50000.0,79.06,52.676244693411476,34.750093481241414,-3.8278460928203395,84.98623379603075,65.40444091990483,74.23840064134683,98.14557715192383,65.64753951849046,50000.0,696984.0,10.0,0.7450046118356052,0.2549953881643949,19411.2,120.81740124851393,62156.0,5284.938094875537,32.4,4.3256341860022225,16.7,2.162817093001112,16.7,2.162817093001112,8.2,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
