learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.798713,4.979064537626174E-8,5000.0,87.08,47.907527636427474,29.934924078091118,-23.28244274809158,92.46207701283548,54.82517482517481,88.5165326184093,74.80916030534351,63.89947044454922,5000.0,240968.0,10.0,0.9791083562707996,0.020891643729200347,6850.200000000001,54.08799414945164,18136.8,7605.589944244957,12.5,4.790035954399971,6.3999999999999995,3.2041639575194445,6.3999999999999995,3.2041639575194445,3.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.481863,1.1847977572638127E-7,10000.0,87.47,49.92262586086725,29.764573991031412,-25.677031093279794,92.68235706359866,56.44768856447689,88.13728757080973,81.444332998997,65.11175404061211,10000.0,388664.0,10.0,0.8628314089670748,0.1371685910329252,13729.4,51.78845860270851,32336.800000000007,14619.907256127784,22.9,6.471304179049056,11.6,3.893013685508382,11.6,3.893013685508382,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.009692,1.9826305768969986E-7,15000.0,87.70666666666666,51.772881867063866,32.00589970501473,-23.097463284379188,92.79574933583372,58.128973660308816,87.95733965338468,85.44726301735648,65.84159070654755,15000.0,584280.0,10.0,0.7648098794727617,0.23519012052723826,20683.6,75.38965446266477,51218.399999999994,14178.007908964737,32.900000000000006,6.903300337922112,16.6,4.168666186896929,16.6,4.168666186896929,6.8,1.3984117975602022,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.463485,2.8414006006593506E-7,20000.0,88.08,53.446867908592544,34.50549450549454,-19.021467798302567,93.00838758871487,59.606912910877675,88.10912929932768,87.81827259111333,66.3188136750125,20000.0,731512.0,10.0,0.9965892843977912,0.0034107156022087845,27627.100000000002,91.0731696067629,65438.4,10897.116470781515,40.300000000000004,8.327331171776734,20.3,4.667856991049414,20.3,4.667856991049414,7.800000000000001,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.972694,3.9915748957958487E-7,25000.0,88.376,54.561317572433786,36.215978928884965,-16.100679184978052,93.18320431620924,60.56987788331072,88.2873271991821,89.17299240910907,66.60711666336623,25000.0,873112.0,10.0,0.9451256035433551,0.05487439645664487,34496.9,99.47020771176798,79059.19999999998,9769.042950963914,48.3,8.512082915218553,24.3,4.6678569910494145,24.3,4.6678569910494145,8.9,0.7378647873726221,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.444958,5.195155370152659E-7,30000.0,88.50666666666666,54.95741856193287,36.336779911373704,-15.70469798657712,93.26378306568203,60.88041751758565,88.33826794966691,90.03355704697987,66.77795762761967,30000.0,985128.0,10.0,0.927939351422731,0.07206064857726903,41346.5,99.2452069931393,89946.4,11247.499941468475,52.9,7.837941906733764,26.6,4.29987079909256,26.6,4.29987079909256,9.700000000000001,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.901988,6.473652586340905E-7,35000.0,88.60285714285713,55.39454474850961,36.64231257941549,-15.155889145496545,93.31881751947074,61.25303545410393,88.33713850837138,91.02193995381063,66.96250414638442,35000.0,1081328.0,10.0,0.9574822614969936,0.04251773850300635,48274.4,107.1936979905484,99268.8,9460.074474689227,57.3,9.141480551128831,28.799999999999997,4.756282395129858,28.799999999999997,4.756282395129858,10.0,1.247219128924647,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.380259,7.905435251672235E-7,40000.0,88.7475,55.97823578060827,37.52082176568575,-13.432459677419391,93.40290500828118,61.76845324046547,88.42972912966253,91.63306451612904,67.09373920974139,40000.0,1157192.0,10.0,0.8842618171978451,0.11573818280215474,55158.5,153.9366752921475,106593.6,11331.814674721003,62.5,10.65885130354632,31.400000000000002,5.601587076693335,31.400000000000002,5.601587076693335,10.4,1.577621275493231,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.866437,9.502430517785252E-7,45000.0,88.8,56.34422086008405,37.99975396727767,-12.42471559223739,93.42877258859423,62.11096075778079,88.4295480909248,92.14811510149453,67.18959428222858,45000.0,1269728.0,10.0,0.8836759277382014,0.11632407226179857,62138.3,140.73462023728658,117436.0,9912.956818673674,68.5,11.481869766433224,34.4,6.05896947600094,34.4,6.05896947600094,11.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.596698,1.0127722322940828E-6,50000.0,87.1,47.91666666666664,29.661941112322793,-29.000000000000032,92.4798880727527,54.673225579761066,88.13333333333333,77.8,64.40755649249033,50000.0,330984.0,10.0,0.9743256139421617,0.025674386057838422,69054.0,152.23300853917516,26791.2,19870.758397426325,88.89999999999999,10.898012051134218,44.6,5.796550698475775,44.6,5.796550698475775,3.6999999999999993,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
