learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.40201,9.454040953682527E-9,5000.0,78.06,47.93814159003085,32.53382533825338,-4.775549188156641,84.61214756627857,61.79031696273075,76.29648368327852,84.71824259789877,63.44578911976296,5000.0,90904.0,10.0,0.8964174321512489,0.10358256784875114,2007.7999999999997,36.56288342628971,3654.3999999999996,2170.5873859395756,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.20000000000000004,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.743921,2.4673552600045997E-8,10000.0,75.42999999999999,44.95069984531527,24.701195219123505,-17.954872779644734,82.2432608224326,60.13305208502353,71.87065807755462,88.95823331733077,63.40916562195197,10000.0,172064.0,10.0,0.5547408592285905,0.4452591407714095,3998.6,52.764044996990584,11471.2,1744.7356246721163,5.800000000000001,1.3984117975602017,3.4000000000000004,0.6992058987801009,3.4000000000000004,0.6992058987801009,2.3000000000000007,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.084689,4.369499605976873E-8,15000.0,74.56666666666666,44.3932563328526,22.14285714285715,-23.024830699774256,81.38025281858559,59.88855009988434,70.06471132027902,91.84134150274105,63.62115466238806,15000.0,215768.0,10.0,0.6172726183577713,0.3827273816422288,5980.8,83.14485351882381,15678.4,2799.1765138260853,8.2,1.9321835661585918,4.599999999999999,0.9660917830792959,4.599999999999999,0.9660917830792959,3.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.393513,6.699946157220337E-8,20000.0,75.47,46.03607350991146,24.523076923076925,-20.363101079489688,82.13271177798819,60.88343166959018,70.81135393117307,93.6702649656526,64.1251937417786,20000.0,291696.0,10.0,0.8949684064121907,0.10503159358780928,7863.0,94.233751915118,23012.8,3046.753200813395,12.0,1.9436506316151,6.5,0.97182531580755,6.5,0.97182531580755,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.67514,9.083247818880612E-8,25000.0,75.916,46.7527674446565,24.76571285767834,-20.08376545672123,82.53618354265161,61.21239451137023,71.18983288301811,94.75468687674511,64.40972747958247,25000.0,327120.0,10.0,0.8547050291400685,0.14529497085993143,9660.099999999999,116.41062379926252,26460.0,3457.1402439974386,13.4,2.4585451886114362,7.2,1.2292725943057181,7.2,1.2292725943057181,4.3999999999999995,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.973861,1.216687880911761E-7,30000.0,76.61,48.069312713006234,27.133956386292823,-16.291017567119624,83.07321191653601,62.16230789970343,71.8476174580656,95.52535631421942,64.68635361733668,30000.0,399024.0,10.0,0.8371868141394915,0.16281318586050855,11607.4,128.08000971614933,33357.6,3458.649293197177,17.8,3.2930904093942583,9.4,1.6465452046971292,9.4,1.6465452046971292,6.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.235669,1.5256555063443054E-7,35000.0,77.30857142857143,49.35321816688421,29.542228530872944,-12.42921857304642,83.62001402466692,63.08450311425118,72.56586483390606,96.06455266138165,64.9288875415419,35000.0,456176.0,10.0,0.8485452721525052,0.15145472784749472,13613.7,136.3394864137149,38932.0,5352.767591525798,19.8,3.5527766918597936,10.4,1.7763883459298968,10.4,1.7763883459298968,6.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.481825,1.8517161439276406E-7,40000.0,77.78500000000001,50.094576141668654,30.588970473363535,-10.811821922933037,84.03062324778952,63.516176712103785,73.1027797754917,96.45841127322609,65.10783191151388,40000.0,512024.0,10.0,0.7953921974044372,0.2046078025955627,15441.9,157.3724880657353,44297.6,4635.786285937789,23.0,2.8284271247461903,12.0,1.4142135623730951,12.0,1.4142135623730951,7.4,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.741998,2.247868645977643E-7,45000.0,78.34,50.97954473852746,32.142857142857146,-8.553291012362182,84.49781312127237,64.0663594470046,73.74587046445129,96.77024167501949,65.29090904166345,45000.0,588576.0,10.0,0.8667432742238755,0.1332567257761244,17280.0,142.17829182637803,51667.2,6082.386899893823,27.200000000000003,3.8239014399199966,14.100000000000001,1.9119507199599983,14.100000000000001,1.9119507199599983,8.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.997346,2.6813511871215374E-7,50000.0,78.82400000000001,51.85170450131958,33.609229997491866,-6.007208650380405,84.87946989603564,64.678409394182,74.27271818454464,97.05646776131358,65.44638759050385,50000.0,656208.0,10.0,0.7444792111883004,0.25552078881169954,19240.5,157.84257276722832,58228.0,3665.898101269168,30.200000000000003,1.9321835661585924,15.600000000000001,0.966091783079296,15.600000000000001,0.966091783079296,8.9,0.7378647873726221,0.0,0.0,0.0,0.0,1.0,0.0
