learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.64212,2.8530910362799964E-8,5000.0,93.17999999999999,86.2374005621921,85.68429890848026,83.34960937499999,93.88121299120762,92.2972667720804,88.70803662258393,99.60994636762554,68.61449974134649,5000.0,171752.0,10.0,0.9068978980208361,0.09310210197916399,3619.1,55.480627249518356,11480.800000000001,978.4919008351576,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.124048,6.065520003437996E-8,10000.0,93.26,86.34152581044299,85.6809007860633,83.21713147410358,94.04277885805197,92.24038682938061,88.94833639859556,99.67653645185369,68.67038532920309,10000.0,257664.0,10.0,0.47595908203601367,0.5240409179639862,7162.8,60.794371084464366,19772.8,2122.030725507998,9.6,1.3498971154211057,5.3,0.6749485577105528,5.3,0.6749485577105528,4.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.570011,1.0250162697707614E-7,15000.0,93.56,86.93534709915566,86.49706457925636,83.95881766854865,94.322322792994,92.56121977514246,89.40389972144847,99.75103734439834,68.76680468544521,15000.0,362712.0,10.0,0.656035324965702,0.34396467503429784,10825.200000000003,76.02309590585615,29871.199999999997,1433.2009861379058,15.600000000000001,0.966091783079296,8.3,0.48304589153964794,8.3,0.48304589153964794,6.1,0.31622776601683783,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.941456,1.4290684826051197E-7,20000.0,93.78999999999999,87.38951202163301,86.92631578947368,84.5233644859813,94.53777816870438,92.80500521376433,89.77614433678583,99.77578475336323,68.83892959113852,20000.0,420480.0,10.0,0.5699130477036389,0.43008695229636107,14419.3,83.89417937695893,35496.799999999996,2176.5928930836426,17.8,1.932183566158592,9.4,0.966091783079296,9.4,0.966091783079296,7.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.295336,1.881752698806425E-7,25000.0,93.964,87.74197615266041,87.27226720647774,85.00745156482861,94.68792903157673,93.01162413745196,90.0683096705063,99.74175605880016,68.88578694645697,25000.0,494472.0,10.0,0.4643604131231388,0.5356395868768612,18016.899999999998,86.60440070933025,42732.8,2615.6213113607346,20.2,1.9321835661585918,10.6,0.9660917830792959,10.6,0.9660917830792959,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.681263,2.441860790943934E-7,30000.0,94.15333333333334,88.10766186597701,87.66178953292065,85.4282628561934,94.87613928487964,93.19310773051849,90.41759465478842,99.72591362126246,68.94626680902508,30000.0,561008.0,10.0,0.6433482838537435,0.35665171614625657,21551.1,118.41682500575843,49143.2,2665.6730148730207,23.8,1.9321835661585915,12.4,0.9660917830792958,12.4,0.9660917830792958,9.400000000000002,0.8432740427115676,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.025999,3.001511909460856E-7,35000.0,94.27428571428571,88.34451856301094,87.9400613829211,85.71530401311568,94.99175288648972,93.3168812112319,90.63811522319726,99.70781071835803,68.98295549292509,35000.0,627528.0,10.0,0.5786655364136697,0.42133446358633037,25131.600000000006,130.6370714783683,55630.4,3716.9866887634184,26.2,2.699794230842212,13.6,1.349897115421106,13.6,1.349897115421106,10.100000000000001,0.7378647873726221,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.394297,3.655964002406432E-7,40000.0,94.395,88.59495665116998,88.20124197452898,86.071938870597,95.08914881499977,93.47231118616433,90.82008368200837,99.70186335403727,69.01484388087205,40000.0,686880.0,10.0,0.6616263963158928,0.3383736036841071,28776.4,160.28738080224636,61336.0,4392.172431344956,29.599999999999998,3.272783388968954,15.299999999999999,1.636391694484477,15.299999999999999,1.636391694484477,11.200000000000001,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.776192,4.3933179204455684E-7,45000.0,94.44888888888889,88.70090536596629,88.33909065446738,86.20041984311126,95.14026691568421,93.52816208093685,90.91652723554564,99.69621651477493,69.03128706433058,45000.0,746336.0,10.0,0.679235074317067,0.3207649256829328,32392.100000000002,130.62707733595406,67104.79999999999,4546.494542196464,32.2,3.011090610836324,16.599999999999998,1.5055453054181624,16.599999999999998,1.5055453054181624,11.9,1.1972189997378646,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.43789,5.44030656154371E-7,50000.0,89.48,78.07637623672579,78.0650542118432,73.76558603491273,91.23917388407727,86.83683683683682,91.54411764705883,86.40438247011953,66.6986694239807,50000.0,611624.0,10.0,0.6938798236208761,0.3061201763791238,35972.899999999994,155.0601675336245,53923.200000000004,32929.18110396579,46.400000000000006,5.660781257427675,23.700000000000003,2.8303906287138374,23.700000000000003,2.8303906287138374,8.2,4.962078417580905,0.0,0.0,0.0,0.0,1.0,0.0
