learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.899291,6.587638818762368E-8,5000.0,76.7,53.436356892538306,44.681861348528024,23.55643044619422,80.48903031318038,71.08463638620005,69.13118527042577,93.96325459317585,63.85421674870063,5000.0,283160.0,10.0,0.7916488621223083,0.20835113787769155,7784.099999999999,72.38546508488811,22093.600000000002,3982.705813890853,11.799999999999999,2.5298221281347035,6.3999999999999995,1.2649110640673518,6.3999999999999995,1.2649110640673518,4.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.813849,1.9412889345445566E-7,10000.0,79.69000000000001,58.86750890454638,51.17788461538463,32.65915119363397,83.27155917963924,74.1570174322433,72.37972508591065,96.61803713527851,64.99956965649642,10000.0,542072.0,10.0,0.5091773681374998,0.49082263186249997,15655.899999999998,61.13091598274089,47008.8,4112.457302716549,26.200000000000003,2.529822128134704,13.600000000000001,1.264911064067352,13.600000000000001,1.264911064067352,7.600000000000001,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.504318,3.31601416081604E-7,15000.0,81.69333333333333,62.34753631675647,56.00768984299903,38.540734109221106,85.19197584124247,76.03002793296089,75.0,97.47090420769919,65.66408915984809,15000.0,769616.0,10.0,0.6579816651823772,0.3420183348176227,23573.7,94.60097485990451,68976.0,5062.6412079071915,37.8,3.293090409394258,19.4,1.646545204697129,19.4,1.646545204697129,9.7,1.159501808728406,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.167324,4.98537152506825E-7,20000.0,82.95,64.61254236311943,59.01442307692308,42.54422914911542,86.33814102564104,77.32712765957446,76.60860291503732,97.97809604043807,66.06563004987453,20000.0,973272.0,10.0,0.5975250161623891,0.4024749838376111,31444.800000000003,88.42799958786297,88634.4,7099.083433796224,48.199999999999996,5.094659513211413,24.599999999999998,2.5473297566057065,24.599999999999998,2.5473297566057065,11.0,1.1547005383792517,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.795972,6.794486413378683E-7,25000.0,83.66,65.91688508450537,60.52758720649338,44.81966770228287,86.97343665295449,78.08593959551527,77.4961641188839,98.31149533972714,66.29624036448278,25000.0,1112400.0,10.0,0.6244482853052085,0.3755517146947916,39244.299999999996,92.17139831133446,102145.60000000002,8953.134512560397,54.199999999999996,6.746192341692543,27.599999999999998,3.3730961708462717,27.599999999999998,3.3730961708462717,11.400000000000002,1.349897115421105,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.377531,8.697049617063668E-7,30000.0,84.33,67.28929285384214,62.21668542035044,47.69110938021588,87.49101939810011,79.03117891074535,78.23728168276782,98.57572048514521,66.48552514794348,30000.0,1264584.0,10.0,0.7750969585814643,0.22490304141853565,47008.899999999994,124.53687539573663,116842.40000000001,8641.28554222242,61.800000000000004,5.593647190240809,31.400000000000002,2.796823595120404,31.400000000000002,2.796823595120404,12.600000000000001,1.8378731669453625,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.952904,1.0767044728725322E-6,35000.0,84.74000000000001,68.05200593035164,63.2365088105727,49.00219612336485,87.8544627629335,79.47742555235351,78.7581033147144,98.74916451828511,66.61592674297182,35000.0,1390664.0,10.0,0.7474017508172682,0.2525982491827318,54894.9,130.6517423449735,129060.8,9910.219694840272,67.59999999999998,6.113736809658861,34.29999999999999,3.0568684048294306,34.29999999999999,3.0568684048294306,13.0,1.4907119849998598,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.522473,1.3013074778786138E-6,40000.0,85.14,68.83351349492088,64.23155614394031,50.45840973495584,88.1880688366917,79.97169620594379,79.24076851653453,98.90815135855976,66.73621952790971,40000.0,1524304.0,10.0,0.7542055106180465,0.24579448938195364,62687.8,178.48797033849544,142060.0,11683.863744498221,72.8,7.857056276579247,36.9,3.9285281382896233,36.9,3.9285281382896233,13.600000000000001,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,6.0822,1.540136575409108E-6,45000.0,85.48444444444443,69.48913052298974,65.14035649482335,51.62556468932829,88.48499806085393,80.36905692131995,79.68060450201607,99.02243945789824,66.83992892723523,45000.0,1649352.0,10.0,0.806532117137809,0.19346788286219094,70527.4,165.92448081381357,154068.0,10637.002919578013,80.2,6.746192341692543,40.6,3.3730961708462717,40.6,3.3730961708462717,14.0,2.160246899469287,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.760298,1.7502122512666717E-6,50000.0,84.64,64.94927228664923,56.90235690235692,33.621434745030285,88.89852558542931,75.08111615833874,80.01561280249805,100.0,67.08494853588583,50000.0,1197528.0,10.0,0.9152219609217201,0.08477803907827976,78420.5,171.7402754808033,110437.6,84361.51691803029,89.8,7.786027371016765,45.4,3.8930136855083823,45.4,3.8930136855083823,10.1,6.887186169498639,0.0,0.0,0.0,0.0,1.0,0.0
