learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.831331,6.881937523062031E-8,5000.0,96.54,92.82532783689857,92.89819376026274,91.55273437500001,97.08901228335856,95.73576534385012,97.79661016949153,94.73170731707316,69.37728689682321,5000.0,319992.0,10.0,0.6091838230584276,0.3908161769415725,4995.6,49.6771800953135,25625.600000000002,2295.530110647405,14.4,1.8973665961010273,7.7,0.9486832980505137,7.7,0.9486832980505137,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.459672,1.5592918399100504E-7,10000.0,97.6,95.00922399380445,95.04541701073492,94.07261052111632,97.99263967882234,97.01640974639484,98.47033114809211,96.32189582819058,69.78399296691948,10000.0,535888.0,10.0,0.6208436557445285,0.3791563442554716,9973.1,72.91920947947138,46372.00000000001,3601.8469336346493,26.8,2.2010098692292237,13.9,1.1005049346146119,13.9,1.1005049346146119,4.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.937886,2.3911270244047046E-7,15000.0,98.05333333333334,95.94360942893357,95.95287595287596,95.1527224435591,98.37849844513549,97.5650433622415,98.70737686650322,97.07932293395287,69.96190031017883,15000.0,672384.0,10.0,0.6368850391124199,0.3631149608875801,15002.900000000001,115.41466303916644,59692.0,4271.411112137169,31.599999999999998,2.836272984824353,16.3,1.4181364924121764,16.3,1.4181364924121764,5.199999999999999,0.421637021355784,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.318302,3.123633426738282E-7,20000.0,98.385,96.63056615605869,96.62486938349008,95.95997498436523,98.65802484523661,97.97250643399661,98.9169374323086,97.58659497311491,70.08985882519373,20000.0,744312.0,10.0,0.7549119653601692,0.2450880346398308,20017.100000000002,146.5639412982908,66682.4,4989.955493010155,34.6,2.6331223544175333,17.8,1.3165611772087666,17.8,1.3165611772087666,5.3999999999999995,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.682959,3.892042470475038E-7,25000.0,98.604,97.08743117024018,97.07509218907141,96.50650650650651,98.84003057799048,98.247376085974,99.07382729211088,97.89831865492394,70.17338276494779,25000.0,814536.0,10.0,0.7830932342536777,0.21690676574632245,25023.5,161.84783663126973,73464.8,5131.946410043226,38.2,3.5527766918597945,19.6,1.7763883459298973,19.6,1.7763883459298973,5.9,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.062825,4.7635307947794596E-7,30000.0,98.71666666666667,97.32397645366187,97.31295365717476,96.79220129978336,98.93248301677528,98.39147691664927,99.13314069793287,98.0923025658114,70.21848817507826,30000.0,886816.0,10.0,0.6056043782773922,0.3943956217226079,30009.1,183.1632241108094,80463.2,6207.128747568306,41.599999999999994,4.623610902506587,21.299999999999997,2.3118054512532935,21.299999999999997,2.3118054512532935,6.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.444808,5.752395518682897E-7,35000.0,98.83999999999999,97.57997622531856,97.57031717534409,97.09564346519778,99.03599582106563,98.54396786687705,99.2197535563062,98.2690794649882,70.2653600683321,35000.0,1000680.0,10.0,0.572095057184498,0.427904942815502,35027.4,153.3450720144304,91370.4,6974.962257165905,48.6,4.2998707990925595,24.8,2.1499353995462798,24.8,2.1499353995462798,6.3999999999999995,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.893659,7.043377694363396E-7,40000.0,98.795,97.48455421699077,97.48039728175641,96.97597088901436,98.99979248806807,98.48475322225714,99.147928010308,98.2623423875541,70.2513826194656,40000.0,1111784.0,10.0,0.567284367461016,0.4327156325389841,40022.79999999999,152.47061647703913,102028.8,34031.9989970224,61.0,5.416025603090639,31.000000000000004,2.708012801545321,31.000000000000004,2.708012801545321,6.199999999999999,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.276115,7.252104979629319E-7,45000.0,98.20666666666666,96.25457368997704,96.24406590337894,95.49212378505194,98.51285358886945,97.74170980831119,98.64555653971065,97.54244861483468,70.03356430215182,45000.0,210960.0,10.0,0.7447383560268303,0.2552616439731697,45048.0,169.9274354933108,15181.6,4992.685209383824,69.6,5.420127099780759,35.3,2.7100635498903793,35.3,2.7100635498903793,2.5999999999999996,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.600986,7.527804098298981E-7,50000.0,69.89999999999999,38.07538459917944,38.29438294382943,25.71569595261598,74.23386406437254,63.813416686703526,72.9229734275143,65.46620621608288,58.81946523974805,50000.0,328040.0,10.0,0.5880192714518019,0.4119807285481983,48648.0,191.80371911583669,26524.8,6591.421981130728,72.0,5.436502143433365,36.5,2.7182510717166823,36.5,2.7182510717166823,2.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
