learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.487916,2.6492948697672952E-8,5000.0,92.66,85.1971911609726,84.74012474012473,82.10628961482203,93.40284019413984,91.72864548118098,88.15744825246013,99.12323429128105,68.42526626615003,5000.0,209888.0,10.0,0.542460364912637,0.457539635087363,5773.299999999999,72.22041878090214,15092.0,3582.9368462818943,8.199999999999998,2.859681411936962,4.599999999999999,1.429840705968481,4.599999999999999,1.429840705968481,3.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.899834,6.089675547348128E-8,10000.0,92.96,85.75979253959576,85.46355564732603,82.62157491977288,93.73888295980079,91.95979899497488,88.61610896250211,99.3338267949667,68.54741712082753,10000.0,322848.0,10.0,0.5021192851766674,0.49788071482333274,11576.400000000001,75.54130584580123,26020.8,4246.365368694084,13.600000000000001,2.1186998109427604,7.300000000000001,1.0593499054713802,7.300000000000001,1.0593499054713802,5.5,0.7071067811865475,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.266431,1.0257504049481618E-7,15000.0,93.29333333333332,86.37699222946885,86.14515906899875,83.26958257109595,94.10592922427936,92.22084751005258,89.38230383973288,99.13549459684123,68.65089191637901,15000.0,439464.0,10.0,0.46540128227028066,0.5345987177297193,17416.7,106.85613381239936,37313.6,4665.91658733844,19.0,2.981423969999719,10.0,1.4907119849998596,10.0,1.4907119849998596,7.5,0.8498365855987974,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.606937,1.4876476023139225E-7,20000.0,93.745,87.27400447771934,87.05504966887418,84.41898119317474,94.52060794533747,92.7136117420933,90.14955301194753,99.10347403810236,68.78463255881539,20000.0,524352.0,10.0,0.6237523182888675,0.3762476817111326,23205.2,92.08064098628141,45547.2,4310.559561510933,22.799999999999997,2.7406406388125957,11.899999999999999,1.3703203194062978,11.899999999999999,1.3703203194062978,8.5,0.7071067811865478,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.957206,2.065088863029248E-7,25000.0,93.96,87.70858442687481,87.41981171373823,84.98558218156508,94.70955083736249,92.96299748345605,90.46248577739107,99.15498558504822,68.85082994460548,25000.0,637248.0,10.0,0.4820742345780399,0.51792576542196,28967.7,92.82486496384219,56495.200000000004,5128.992727622062,27.799999999999997,3.794733192202055,14.399999999999999,1.8973665961010275,14.399999999999999,1.8973665961010275,10.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.334471,2.761639253712363E-7,30000.0,94.08999999999999,87.9571389889887,87.67894371091035,85.25694328953932,94.84188170948127,93.08151558902719,90.69663921655909,99.1602926504822,68.89429074078659,30000.0,713688.0,10.0,0.6579330465247911,0.342066953475209,34760.7,132.40934005323498,63892.8,6133.167765881222,31.400000000000002,4.2998707990925595,16.2,2.1499353995462798,16.2,2.1499353995462798,11.299999999999999,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.732406,3.5619255234590836E-7,35000.0,94.15714285714286,88.08511134157568,87.81940556316637,85.39077011001572,94.91078316701092,93.14149646175,90.8047619047619,99.18571428571428,68.91851641439986,35000.0,777384.0,10.0,0.4831574811502299,0.5168425188497701,40603.3,126.70880877911554,70100.8,7262.9399128574505,33.800000000000004,4.442221666388716,17.400000000000002,2.221110833194358,17.400000000000002,2.221110833194358,11.9,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.103549,4.4087313793392646E-7,40000.0,94.2925,88.360376805652,88.08392922386346,85.74817404332356,95.02820183366363,93.30125289750887,90.98794778764753,99.23849946944635,68.96130205722153,40000.0,881952.0,10.0,0.4685430264493291,0.5314569735506709,46345.8,152.74728584604347,80175.2,5592.213570869964,39.4,3.5023801430836516,20.2,1.7511900715418258,20.2,1.7511900715418258,12.9,1.728840330651992,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.449189,5.265928683078123E-7,45000.0,94.36666666666666,88.50844085366282,88.24156964608748,85.92839300582847,95.09604782078812,93.38241052549144,91.09068672868102,99.27290891935394,68.9861572433258,45000.0,958648.0,10.0,0.574965061771216,0.42503493822878397,52140.799999999996,120.12844977125374,87613.6,6600.339977775557,42.8,4.8488257455915145,21.9,2.4244128727957572,21.9,2.4244128727957572,13.3,2.0575065816014617,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.816855,5.488544508214626E-7,50000.0,91.22,81.96986050668389,81.32709485325394,78.72031022782355,92.44276123257013,89.52517298973991,91.6382252559727,90.6280193236715,67.50300818845857,50000.0,234048.0,10.0,0.7000945257318567,0.2999054742681434,57892.4,149.44727795744097,17372.0,5666.493173814727,59.0,7.363574011458173,30.0,3.6817870057290865,30.0,3.6817870057290865,3.0000000000000004,0.9428090415820635,0.0,0.0,0.0,0.0,1.0,0.0
