learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.749453,5.049050279789501E-8,5000.0,92.08,83.9635678178287,83.59569179784589,80.61674008810571,92.95624332977587,90.95477386934672,88.48628513376228,97.26428920371275,68.1451712041057,5000.0,260416.0,10.0,0.7958399297524444,0.20416007024755564,5774.2,68.68090467274482,19993.6,1961.5569326430473,10.4,1.3498971154211057,5.7,0.6749485577105528,5.7,0.6749485577105528,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.430558,1.219201164961689E-7,10000.0,92.86999999999999,85.46283321510586,85.03986571548468,82.10341365461846,93.79082121396847,91.62850769050135,89.57085828343313,97.84353059177533,68.4496875221517,10000.0,405384.0,10.0,0.46852962340120036,0.5314703765987997,11654.8,68.99565203692185,34029.6,3216.2543846323265,17.200000000000003,2.2010098692292224,9.100000000000001,1.1005049346146112,9.100000000000001,1.1005049346146112,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.948886,1.9217886875280073E-7,15000.0,93.17333333333333,86.07922519577585,85.71627842097921,82.91339896545969,94.0541168273139,91.98622632649867,89.9589025880262,97.99899949974987,68.54886980975253,15000.0,523960.0,10.0,0.6038408329328521,0.39615916706714804,17464.3,91.52176426038464,45545.6,3578.6364628631013,22.2,2.14993539954628,11.6,1.07496769977314,11.6,1.07496769977314,8.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.446423,2.6949738946432867E-7,20000.0,93.42,86.57067159581527,86.22998849011196,83.47148957548356,94.2832319721981,92.24970553592462,90.17782948313113,98.31785086618126,68.6468645222257,20000.0,600704.0,10.0,0.659025851577237,0.34097414842276297,23305.899999999998,85.96181322734726,52976.8,3480.7660970283846,25.799999999999997,1.9321835661585922,13.399999999999999,0.9660917830792961,13.399999999999999,0.9660917830792961,9.5,0.8498365855987976,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.962025,3.624529146465162E-7,25000.0,93.496,86.73603796036953,86.3613487669854,83.70251578630852,94.33765148349352,92.36045856042097,90.18576469804914,98.47710650235447,68.67730178166649,25000.0,696888.0,10.0,0.6124326783330862,0.3875673216669137,29061.1,85.9437154318001,62294.4,4109.671281799122,30.2,2.699794230842212,15.6,1.349897115421106,15.6,1.349897115421106,10.7,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.398716,4.494126447310878E-7,30000.0,93.62666666666667,87.00405728981306,86.6805990943922,84.03740190348974,94.44960520204366,92.51721978710081,90.28749028749029,98.6479719579369,68.72689834508525,30000.0,769744.0,10.0,0.6861970325510027,0.3138029674489974,34797.1,116.96575947211566,69364.0,5115.079927690932,33.4,3.2386554137309647,17.2,1.619327706865483,17.2,1.619327706865483,11.6,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.858304,5.506737722228798E-7,35000.0,93.74285714285713,87.24810778888836,86.94018725028326,84.36607652769844,94.54192004785166,92.66970143258803,90.37068801219745,98.79389095061376,68.76855730688466,35000.0,851680.0,10.0,0.514893857869779,0.48510614213022096,40589.0,124.13523091997546,77276.79999999999,5352.245402113445,37.6,2.6749870196985173,19.3,1.3374935098492586,19.3,1.3374935098492586,12.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.331965,6.6194666215736E-7,40000.0,93.765,87.30317503097586,86.971739016873,84.45912263210369,94.54958695747192,92.71654693066994,90.32904626691163,98.89110391228508,68.77865769611905,40000.0,908080.0,10.0,0.5489249523213936,0.45107504767860634,46329.0,161.6195807719132,82765.6,4988.078302869309,39.8,3.7947331922020546,20.4,1.8973665961010273,20.4,1.8973665961010273,12.4,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.815681,7.83484376658582E-7,45000.0,93.7688888888889,87.31576668817873,86.97449714312259,84.48256779192032,94.54771719685775,92.7304780669916,90.29191116393078,98.94876618346797,68.78238825226242,45000.0,971232.0,10.0,0.5161711962259569,0.48382880377404325,52123.200000000004,135.5817096809156,88885.6,5689.7594403356725,42.6,3.238655413730964,21.8,1.619327706865482,21.8,1.619327706865482,12.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.532744,9.500067615219288E-7,50000.0,88.96,77.41076638885728,76.29884070416486,72.83464566929132,90.42995839112345,86.95652173913044,87.95952782462058,90.41769041769042,66.77896716824672,50000.0,897672.0,10.0,0.6636786376667726,0.3363213623332273,57909.9,177.05645678395607,81569.6,46309.67573292744,59.199999999999996,4.049691346263316,30.099999999999998,2.024845673131658,30.099999999999998,2.024845673131658,10.3,5.696977756280567,0.0,0.0,0.0,0.0,1.0,0.0
